Outcome	system	rg	SE	Z	P	FDR	h2_psoriasis	h2_psoriasis_SE	h2_outcome	h2_outcome_SE	outcome_intercept	cross_trait_intercept	QC_status	label	ci_low	ci_high	panel	outcome	scope	shared_loci_tested_local_h2	joint_h2_p05	joint_h2_1e5	bivar_loci_tested	fdr05_within_outcome	fdr05_all_tests	nominal_positive	nominal_negative	median_rho	min_p	top_locus	top_rho	pair_scope	locus	chr	start	stop	rho	se_approx	z_approx	p	fdr_within_outcome	fdr_all_tests	direction	univ_p_psoriasis	univ_p_outcome	phase4br_tier	phase4c_coloc_eligible	direction_concordant	eligible_for_display	locus_label	selected_locus_set	displayed_cell
							0.00278524		0.00552725					Crohn			c	crohn														qc_flagged_ibd	1559.0	10.0	79952997.0	81190573.0	-0.625949	0.10976138333835	5.70281624522215	1.17844e-08	3.0875128e-07	2.1716965714285714e-07	negative	2.22482e-24	6.84405e-17	Tier 1	True	True	True	L1559 chr10:80.0-81.2Mb	True	True
							0.00224055		0.0046242					Crohn			c	crohn														qc_flagged_ibd	2251.0	18.0	12735559.0	13641479.0	-0.658624	0.11676264015121	5.64070835626078	1.69352e-08	3.697518666666667e-07	2.979055636363636e-07	negative	1.43673e-22	7.98317e-17	Tier 1	True	True	True	L2251 chr18:12.7-13.6Mb	True	True
							0.00140234		0.00492					Crohn			c	crohn														qc_flagged_ibd	113.0	1.0	154685546.0	156813845.0	0.345449	0.137132851074451	2.51908275291711	0.0117661	0.0342524244444444	0.039595484347826	positive	6.99071e-10	1.4118e-15				False	L113 chr1:154.7-156.8Mb	True	False
							0.000935863		0.00421742					Crohn			c	crohn														qc_flagged_ibd	2203.0	17.0	37361179.0	38880481.0	-0.31598	0.151071263051074	2.09159567225683	0.0364747	0.0849964771929824	0.0994064007042253	negative	5.82674e-08	3.66564e-17				False	L2203 chr17:37.4-38.9Mb	True	False
							0.0264938		0.020689					PsA			c	psa														positive_control_near_neighbor	908.0	5.0	158484776.0	159663733.0	0.944787	0.047863138175183	19.7393450580278	9.90536e-87	3.962144e-85	3.8333743199999993e-84	positive	0.0	1.55217e-73	Tier 1	True	True	True	L908 chr5:158.5-159.7Mb	True	True
							0.00523373		0.00750383					PsA			c	psa														positive_control_near_neighbor	1041.0	6.0	111363444.0	112342873.0	1.0	0.0912907497738667	10.9540123449207	6.3568e-28	1.2713599999999999e-26	1.2300408e-25	positive	3.80085e-82	1.20816e-22	Tier 1	True	True	True	L1041 chr6:111.4-112.3Mb	True	True
							0.0053474		0.00999499					PsA			c	psa														positive_control_near_neighbor	57.0	1.0	66778016.0	67761890.0	0.740363	0.0843249489028366	8.77988080198048	1.63648e-18	1.309184e-17	9.047396571428571e-17	positive	1.32032e-83	1.21481e-32	Tier 1	True	True	True	L57 chr1:66.8-67.8Mb	True	True
							0.00513482		0.00536171					PsA			c	psa														positive_control_near_neighbor	347.0	2.0	161432090.0	163607635.0	0.847701	0.111819752359168	7.58095937538088	3.43009e-14	1.715045e-13	1.3274448299999998e-12	positive	1.5363000000000002e-71	2.48993e-12	Tier 1	True	True	True	L347 chr2:161.4-163.6Mb	True	True
							0.00357728		0.00606813					PsA			c	psa														positive_control_near_neighbor	887.0	5.0	130573818.0	132554690.0	0.807433	0.109936284257939	7.34455421565416	2.06446e-13	9.175377777777778e-13	6.6929392499999995e-12	positive	5.78974e-49	1.2929e-16	Tier 1	True	True	True	L887 chr5:130.6-132.6Mb	True	True
							0.00224731		0.00376782					PsA			c	psa														positive_control_near_neighbor	2251.0	18.0	12735559.0	13641479.0	1.0	0.153211161941551	6.52693959974989	6.71271e-11	2.440985454545454e-10	1.6236367312499999e-09	positive	1.39346e-22	4.41082e-07				False	L2251 chr18:12.7-13.6Mb	True	False
							0.00521621		0.00929634					UC			c	uc														qc_flagged_ibd	57.0	1.0	66778016.0	67761890.0	-0.689577	0.0669983214236272	10.2924518905457	7.62106e-25	7.4686388e-23	9.8311674e-23	negative	2.52945e-81	3.5364e-61	Tier 1	True	True	True	L57 chr1:66.8-67.8Mb	True	True
							0.0050225		0.00185002					UC			c	uc														qc_flagged_ibd	347.0	2.0	161432090.0	163607635.0	0.828549	0.136782226387161	6.05743174303069	1.38312e-09	6.777288000000002e-08	2.8171970526315793e-08	positive	4.873510000000001e-69	2.66249e-06	Tier 1	True	True	True	L347 chr2:161.4-163.6Mb	True	True
							0.00224055		0.00265688					UC			c	uc														qc_flagged_ibd	2251.0	18.0	12735559.0	13641479.0	-0.762875	0.135686209289587	5.62234735566857	1.8838e-08	6.153746666666667e-07	3.169698260869565e-07	negative	1.43673e-22	2.19999e-09	Tier 1	True	True	True	L2251 chr18:12.7-13.6Mb	True	True
							0.0266355		0.00496835					UC			c	uc														qc_flagged_ibd	908.0	5.0	158484776.0	159663733.0	0.39234	0.072098019097899	5.44175838544547	5.27572e-08	1.2925514e-06	8.16681456e-07	positive	0.0	3.73497e-22	Tier 1	True	True	True	L908 chr5:158.5-159.7Mb	True	True
							0.000935863		0.0038219					UC			c	uc														qc_flagged_ibd	2203.0	17.0	37361179.0	38880481.0	-0.648811	0.152357816928553	4.25846873550475	2.05832e-05	0.00040343072	0.00019914246	negative	5.82674e-08	5.7751200000000004e-18	Tier 1	True	True	True	L2203 chr17:37.4-38.9Mb	True	True
							0.00140234		0.00287991					UC			c	uc														qc_flagged_ibd	113.0	1.0	154685546.0	156813845.0	0.310791	0.15685005234728	1.98145295681432	0.0475405	0.1863587599999999	0.1218422086092715	positive	6.99071e-10	8.2356e-09				False	L113 chr1:154.7-156.8Mb	True	False
							0.00362657		0.00157472					UC			c	uc														qc_flagged_ibd	887.0	5.0	130573818.0	132554690.0	-0.260275	0.142087994963688	1.83178740798274	0.0669831	0.2286867172413793	0.162015373125	negative	7.56973e-50	6.92131e-06				False	L887 chr5:130.6-132.6Mb	True	False
							0.00157466		0.0022954					UC			c	uc														qc_flagged_ibd	1841.0	12.0	111592382.0	113947983.0	-0.284017	0.155440014835378	1.82718073142746	0.0676726	0.2286867172413793	0.1626664360248447	negative	1.19098e-13	1.02716e-07				False	L1841 chr12:111.6-113.9Mb	True	False
