phen	h2.obs	h2.latent	ascertained	p	locus	chr	start	stop	fdr_within_pheno
psoriasis	0.000305584	0.00106896	FALSE	0.00955461	28	1	27992666	29188426	0.020514868389662
psa	0.000307151	0.000638493	FALSE	0.240093	28	1	27992666	29188426	0.2979725625
crohn	0.00101019	0.00174935	FALSE	0.00154094	28	1	27992666	29188426	0.0043741549682338
uc	0.000446322	0.000805794	FALSE	0.0520686	28	1	27992666	29188426	0.0809219006369427
cad	5.7824e-05	0.000112255	FALSE	0.00863479	28	1	27992666	29188426	0.0156356015281077
psoriasis	0.00020683	0.000723511	FALSE	0.110295	29	1	29188427	30405182	0.149458720200753
psa	0.00222915	0.00463386	FALSE	0.000950251	29	1	29188427	30405182	0.00574282126086957
crohn	0.00158764	0.00274931	FALSE	0.000411508	29	1	29188427	30405182	0.00144318504238619
uc	0.000860896	0.00155427	FALSE	0.0148259	29	1	29188427	30405182	0.0296122920980926
cad	0.000155881	0.000302614	FALSE	8.71314e-06	29	1	29188427	30405182	4.4679262735426e-05
psoriasis	0.000473643	0.00165685	FALSE	0.00777478	30	1	30405183	31639217	0.0172755823227133
psa	0.00159383	0.00331319	FALSE	0.0172363	30	1	30405183	31639217	0.0472420278873239
crohn	0.000716256	0.00124034	FALSE	0.0677616	30	1	30405183	31639217	0.0970380861538462
uc	0.00147108	0.0026559	FALSE	0.00056414	30	1	30405183	31639217	0.00213201791752577
cad	4.87973e-05	9.47309e-05	FALSE	0.0824566	30	1	30405183	31639217	0.106661902828054
psoriasis	0.000410887	0.00143732	FALSE	0.00371967	31	1	31639218	33066846	0.00946347137809187
psa	0.00027835	0.000578621	FALSE	0.290867	31	1	31639218	33066846	0.341803853864734
crohn	0.000119033	0.00020613	FALSE	0.352411	31	1	31639218	33066846	0.37118631494578
uc	0.000281487	0.0005082	FALSE	0.178526	31	1	31639218	33066846	0.21780172
cad	7.47507e-05	0.000145114	FALSE	0.00456228	31	1	31639218	33066846	0.00909671696599826
psoriasis	0.000813179	0.00284458	FALSE	6.98395e-06	32	1	33066847	34371022	5.18396288659794e-05
crohn	0.00171347	0.00296721	FALSE	0.000118396	32	1	33066847	34371022	0.000509627483622351
uc	0.00103843	0.00187479	FALSE	0.00397971	32	1	33066847	34371022	0.010501256182473
cad	3.18577e-05	6.18457e-05	FALSE	0.145689	32	1	33066847	34371022	0.171482626351004
psoriasis	0.000281759	0.000985618	FALSE	0.0456818	33	1	34371023	35201626	0.0741342509391435
psa	9.76101e-05	0.000202908	FALSE	0.422829	33	1	34371023	35201626	0.443884270386266
crohn	0.000409187	0.00070859	FALSE	0.159065	33	1	34371023	35201626	0.193335805223069
uc	0.000800629	0.00144547	FALSE	0.0182258	33	1	34371023	35201626	0.0346827181975737
cad	2.87818e-05	5.58744e-05	FALSE	0.169208	33	1	34371023	35201626	0.193974283709273
psoriasis	0.000135124	0.000472676	FALSE	0.157279	34	1	35201627	36855139	0.198204574095683
crohn	0.00148336	0.00256873	FALSE	9.25789e-05	34	1	35201627	36855139	0.000415303740160643
cad	6.60919e-05	0.000128305	FALSE	0.00781247	34	1	35201627	36855139	0.0143112000480384
psoriasis	0.000563578	0.00197145	FALSE	0.00248579	35	1	36855140	38474036	0.00679659037974683
psa	0.000689395	0.00143308	FALSE	0.167279	35	1	36855140	38474036	0.233854119252874
crohn	0.00223231	0.00386569	FALSE	1.51468e-05	35	1	36855140	38474036	8.99945510638298e-05
uc	0.00159185	0.00287394	FALSE	0.000252392	35	1	36855140	38474036	0.001108505664
cad	0.000190862	0.000370524	FALSE	1.05082e-06	35	1	36855140	38474036	7.5100791875e-06
psoriasis	0.0017046	0.00596287	FALSE	1.05865e-12	36	1	38474037	40200950	3.74866229508197e-11
psa	0.00083743	0.00174081	FALSE	0.135307	36	1	38474037	40200950	0.200855952779893
crohn	0.00136962	0.00237177	FALSE	0.00494596	36	1	38474037	40200950	0.011586732327044
uc	0.00142031	0.00256424	FALSE	0.00131703	36	1	38474037	40200950	0.00433612875562219
cad	0.000312032	0.000605751	FALSE	2.20783e-12	36	1	38474037	40200950	6.55754183116883e-11
psoriasis	0.000169775	0.00059389	FALSE	0.111166	37	1	40200951	41093875	0.150167954971857
psa	0.000418494	0.000869948	FALSE	0.209706	37	1	40200951	41093875	0.270615302387268
crohn	0.000383329	0.000663812	FALSE	0.136358	37	1	40200951	41093875	0.170276004471772
uc	0.000427942	0.000772612	FALSE	0.0855993	37	1	40200951	41093875	0.120189298465473
cad	5.36779e-05	0.000104206	FALSE	0.0246674	37	1	40200951	41093875	0.038481817053206
psoriasis	0.000239286	0.000837045	FALSE	0.054134	38	1	41093876	41977966	0.0849160784313726
psa	0.00110695	0.00230107	FALSE	0.0308355	38	1	41093876	41977966	0.0699369265734266
crohn	0.00156204	0.00270498	FALSE	0.000113376	38	1	41093876	41977966	0.000492625196116505
uc	0.00156156	0.00281926	FALSE	1.83371e-05	38	1	41093876	41977966	0.000133942867774086
cad	8.61649e-05	0.000167273	FALSE	0.00207235	38	1	41093876	41977966	0.0047065188182721
psoriasis	0.00050863	0.00177924	FALSE	0.00130809	39	1	41977967	43512669	0.00394291882845188
psa	0.0003791	0.000788056	FALSE	0.252873	39	1	41977967	43512669	0.309491105660377
crohn	0.00147468	0.0025537	FALSE	0.000387262	39	1	41977967	43512669	0.00137929287619048
uc	0.000233181	0.000420989	FALSE	0.238942	39	1	41977967	43512669	0.273860455114823
cad	8.81222e-05	0.000171073	FALSE	0.00258609	39	1	41977967	43512669	0.00564889
psoriasis	0.000890982	0.00311674	FALSE	4.86141e-06	40	1	43512670	45167235	3.74540925266904e-05
crohn	0.000767438	0.00132897	FALSE	0.0484025	40	1	43512670	45167235	0.0746801994478951
uc	0.00246976	0.00445894	FALSE	5.7385e-08	40	1	43512670	45167235	1.0863574137931e-06
cad	0.000167683	0.000325526	FALSE	5.12455e-06	40	1	43512670	45167235	2.83773507263923e-05
psoriasis	0.000402865	0.00140926	FALSE	0.00365656	41	1	45167236	47257261	0.00933507626918536
crohn	0.000720149	0.00124708	FALSE	0.0244373	41	1	45167236	47257261	0.0426086310210444
uc	0.00125501	0.00226582	FALSE	0.000158158	41	1	45167236	47257261	0.000782240918918919
cad	0.000139	0.000269842	FALSE	2.81642e-06	41	1	45167236	47257261	1.73149261827957e-05
uc	0.000686216	0.0012389	FALSE	0.0131048	42	1	47257262	48105233	0.0268202616961789
cad	5.26848e-05	0.000102278	FALSE	0.0201128	42	1	47257262	48105233	0.0322340389628591
psoriasis	0.000298569	0.00104442	FALSE	0.0331628	43	1	48105234	49185414	0.0569408966613673
psa	0.00217958	0.00453081	FALSE	0.000648513	43	1	48105234	49185414	0.00430718873037543
crohn	0.000694864	0.0012033	FALSE	0.0461673	43	1	48105234	49185414	0.0718229444289694
uc	0.000868093	0.00156727	FALSE	0.0100602	43	1	48105234	49185414	0.0216802739941119
cad	5.39993e-05	0.000104829	FALSE	0.0384949	43	1	48105234	49185414	0.0561107943275972
psoriasis	5.04029e-06	1.76314e-05	FALSE	0.465749	44	1	49185415	51777577	0.46835094972067
psa	0.000981954	0.00204124	FALSE	0.0370063	44	1	49185415	51777577	0.0801940532293987
crohn	0.000549664	0.000951853	FALSE	0.0604529	44	1	49185415	51777577	0.0889669160737813
uc	0.000405209	0.000731569	FALSE	0.09235	44	1	49185415	51777577	0.127788657844991
cad	5.77666e-05	0.000112143	FALSE	0.0163425	44	1	49185415	51777577	0.0269274477665706
uc	0.000559623	0.00101035	FALSE	0.0191915	45	1	51777578	53114186	0.0361445403087479
cad	1.98749e-05	3.85834e-05	FALSE	0.167734	45	1	51777578	53114186	0.192574125502008
psoriasis	0.000704878	0.00246573	FALSE	0.000345981	46	1	53114187	54771293	0.00132268842477876
psa	0.00192136	0.00399405	FALSE	0.00711916	46	1	53114187	54771293	0.0248931830879713
crohn	0.00174794	0.00302692	FALSE	0.000481368	46	1	53114187	54771293	0.00164682406125574
uc	0.0013145	0.00237322	FALSE	0.00200533	46	1	53114187	54771293	0.00607407542068966
cad	0.000199703	0.000387686	FALSE	6.07113e-07	46	1	53114187	54771293	4.67497451515152e-06
psoriasis	0.00123378	0.00431586	FALSE	5.03787e-09	47	1	54771294	55727134	8.91950754098361e-08
psa	0.000899491	0.00186982	FALSE	0.101364	47	1	54771294	55727134	0.164241751873439
crohn	0.00173201	0.00299932	FALSE	0.000315333	47	1	54771294	55727134	0.00116246521782178
uc	0.000799001	0.00144253	FALSE	0.0279849	47	1	54771294	55727134	0.0490461615323224
cad	0.00042703	0.000828998	FALSE	3.3957e-21	47	1	54771294	55727134	2.87628366666667e-19
psoriasis	0.000417116	0.00145911	FALSE	0.00485659	48	1	55727135	56799636	0.0118399936794582
psa	0.00185596	0.00385809	FALSE	0.00190828	48	1	55727135	56799636	0.00985016679045093
crohn	0.000727561	0.00125992	FALSE	0.0339335	48	1	55727135	56799636	0.0556180770359501
uc	0.00104321	0.00188341	FALSE	0.00224474	48	1	55727135	56799636	0.00668853329715061
cad	0.000128022	0.00024853	FALSE	3.94305e-05	48	1	55727135	56799636	0.00016277536732852
psoriasis	0.000251476	0.000879689	FALSE	0.0539756	49	1	56799637	57529670	0.0847291395348837
psa	0.000742431	0.00154333	FALSE	0.106864	49	1	56799637	57529670	0.17115830781893
crohn	0.000810148	0.00140293	FALSE	0.0236298	49	1	56799637	57529670	0.0415334171518489
uc	0.000850958	0.00153633	FALSE	0.0097108	49	1	56799637	57529670	0.0209890913385827
cad	0.000318699	0.000618694	FALSE	1.11407e-16	49	1	56799637	57529670	6.0663764047619e-15
psoriasis	0.000314337	0.00109958	FALSE	0.0278626	50	1	57529671	58387483	0.049377174733388
psa	0.00169792	0.00352955	FALSE	0.00522768	50	1	57529671	58387483	0.0199941750884086
crohn	0.00123005	0.00213008	FALSE	0.00253685	50	1	57529671	58387483	0.00670689100591716
uc	0.00141319	0.00255138	FALSE	0.00018619	50	1	57529671	58387483	0.000896651842105263
cad	9.84159e-05	0.000191056	FALSE	0.00128285	50	1	57529671	58387483	0.003242966
psoriasis	0.000728348	0.00254783	FALSE	0.000191383	51	1	58387484	59889045	0.000825124311377245
psa	0.00199918	0.0041558	FALSE	0.00489549	51	1	58387484	59889045	0.0192247144758065
crohn	0.00251461	0.00435455	FALSE	1.94239e-06	51	1	58387484	59889045	1.60121743911439e-05
uc	0.00231995	0.00418846	FALSE	6.87943e-07	51	1	58387484	59889045	9.38337160248447e-06
cad	0.000209345	0.000406404	FALSE	1.49201e-07	51	1	58387484	59889045	1.33812818431373e-06
psoriasis	0.000965568	0.00337765	FALSE	8.65415e-07	52	1	59889046	61377615	8.79282253521127e-06
psa	0.00153099	0.00318255	FALSE	0.0156886	52	1	59889046	61377615	0.0441185196531792
crohn	0.00183279	0.00317384	FALSE	0.000108155	52	1	59889046	61377615	0.000474692082514735
uc	0.00158286	0.00285771	FALSE	0.000129515	52	1	59889046	61377615	0.000669211623529412
cad	8.18576e-05	0.000158911	FALSE	0.00902779	52	1	59889046	61377615	0.0161933770431373
psoriasis	0.0014674	0.0051331	FALSE	4.43112e-10	53	1	61377616	62778733	1.05178232967033e-08
psa	0.00602334	0.0125211	FALSE	6.48559e-11	53	1	61377616	62778733	1.14735983090909e-08
crohn	0.00398428	0.00689958	FALSE	4.75832e-11	53	1	61377616	62778733	1.71453014193548e-09
uc	0.00290059	0.00523676	FALSE	1.58598e-08	53	1	61377616	62778733	3.66611797894737e-07
cad	0.000121438	0.000235749	FALSE	0.00141908	53	1	61377616	62778733	0.00352381754614549
psoriasis	0.000248141	0.00086802	FALSE	0.0909895	54	1	62778734	64344226	0.127208621359223
psa	0.00180636	0.00375498	FALSE	0.00871704	54	1	62778734	64344226	0.0288983983645656
crohn	0.00497698	0.00861863	FALSE	9.59112e-17	54	1	62778734	64344226	7.6523436e-15
uc	0.00169944	0.00306819	FALSE	0.000103348	54	1	62778734	64344226	0.000558995586206897
cad	8.34322e-05	0.000161968	FALSE	0.0111495	54	1	62778734	64344226	0.0192589928247734
psoriasis	0.000780523	0.00273034	FALSE	6.49148e-05	55	1	64344227	65894184	0.000334644315035799
psa	0.00476726	0.00990997	FALSE	8.46572e-09	55	1	64344227	65894184	8.23714556e-07
crohn	0.00357575	0.00619213	FALSE	1.34998e-10	55	1	64344227	65894184	4.22660388888889e-09
uc	0.0013254	0.00239288	FALSE	0.00137947	55	1	64344227	65894184	0.00450791089285714
cad	4.72343e-05	9.16965e-05	FALSE	0.0866917	55	1	64344227	65894184	0.111196813180034
psoriasis	0.000303113	0.00106032	FALSE	0.0116573	56	1	65894185	66778015	0.0241416759348035
psa	0.00105311	0.00218917	FALSE	0.0204051	56	1	65894185	66778015	0.0526090145695364
crohn	0.000311425	0.000539295	FALSE	0.158196	56	1	65894185	66778015	0.192489032679739
uc	0.000242011	0.000436929	FALSE	0.184225	56	1	65894185	66778015	0.223142912300055
cad	3.56204e-05	6.91504e-05	FALSE	0.0679701	56	1	65894185	66778015	0.0909576010526316
psoriasis	0.00521621	0.0182468	FALSE	2.52945e-81	57	1	66778016	67761890	9.10602e-79
psa	0.00997351	0.0207325	FALSE	1.1098e-32	57	1	66778016	67761890	1.0798354e-29
crohn	0.0276692	0.0479147	FALSE	3.31129e-199	57	1	66778016	67761890	3.69871093e-196
uc	0.00929634	0.0167837	FALSE	3.5364e-61	57	1	66778016	67761890	3.8829672e-58
cad	6.22617e-05	0.000120869	FALSE	0.0112107	57	1	66778016	67761890	0.019350091245283
psoriasis	0.00102266	0.00357738	FALSE	4.4187e-08	58	1	67761891	68633860	6.4269132885906e-07
psa	0.00215077	0.00447093	FALSE	0.000815897	58	1	67761891	68633860	0.00510525904180064
crohn	0.0059505	0.0103045	FALSE	4.85808e-25	58	1	67761891	68633860	8.34842363076923e-23
uc	0.00369051	0.0066629	FALSE	1.67128e-15	58	1	67761891	68633860	1.468052352e-13
cad	6.81662e-05	0.000132332	FALSE	0.0152403	58	1	67761891	68633860	0.0254227323851203
psoriasis	0.000368582	0.00128934	FALSE	0.00420794	59	1	68633861	69438909	0.0105320398609502
psa	9.05968e-05	0.000188329	FALSE	0.407562	59	1	68633861	69438909	0.432283485558583
crohn	0.000571729	0.000990063	FALSE	0.0458093	59	1	68633861	69438909	0.0713653948396095
uc	0.000265944	0.000480139	FALSE	0.170508	59	1	68633861	69438909	0.210512678270634
cad	9.73213e-05	0.000188931	FALSE	0.000219757	59	1	68633861	69438909	0.000739094498529412
psoriasis	8.02203e-05	0.000280618	FALSE	0.29773	60	1	69438910	70992905	0.328949769820972
psa	0.00152793	0.0031762	FALSE	0.0113765	60	1	69438910	70992905	0.0349190362776025
crohn	0.00162315	0.00281081	FALSE	0.000227259	60	1	69438910	70992905	0.000875338975862069
uc	0.00112241	0.0020264	FALSE	0.00222185	60	1	69438910	70992905	0.00662932418478261
cad	3.27194e-05	6.35186e-05	FALSE	0.139746	60	1	69438910	70992905	0.165681234836703
crohn	0.000910074	0.00157598	FALSE	0.0108956	61	1	70992906	72513119	0.0220079298372514
uc	0.000568054	0.00102557	FALSE	0.0455446	61	1	70992906	72513119	0.0719021866283249
cad	8.75664e-05	0.000169994	FALSE	0.00181946	61	1	70992906	72513119	0.00423737782077393
psoriasis	0.000124874	0.000436823	FALSE	0.108069	62	1	72513120	73992170	0.147273842271293
psa	0.000133541	0.000277598	FALSE	0.342205	62	1	72513120	73992170	0.384264818234276
crohn	0.000804824	0.00139371	FALSE	0.00279895	62	1	72513120	73992170	0.0072623162601626
uc	5.62837e-05	0.000101615	FALSE	0.375314	62	1	72513120	73992170	0.394537838200096
cad	5.16646e-05	0.000100297	FALSE	0.00680398	62	1	72513120	73992170	0.0127442278951679
psa	0.000558081	0.00116011	FALSE	0.128862	63	1	73992171	75132092	0.194693673913043
