locus	chr	start	stop	h2.obs_psoriasis	p_psoriasis	fdr_within_pheno_psoriasis	h2.obs_outcome	p_outcome	fdr_within_pheno_outcome	outcome	local_h2_pass_p05	local_h2_pass_fdr10	min_h2_p
2181	17	7264459	8554763	0.00103479	3.97793e-07	4.64450205405405e-06	0.000195882	3.45957e-07	2.83585540860215e-06	cad	TRUE	TRUE	3.97793e-07
584	3	186602046	187939199	0.00117752	4.65309e-07	5.34610340425532e-06	0.000260013	9.5935e-09	1.20551288461538e-07	cad	TRUE	TRUE	4.65309e-07
2162	16	81437862	82310204	0.00113974	5.24654e-07	5.93325989528796e-06	0.000538202	7.49173e-26	9.01767711052632e-24	cad	TRUE	TRUE	5.24654e-07
2369	20	60795	884241	0.0011411	6.09151e-07	6.71309265306123e-06	0.000253218	8.21898e-09	1.0680004125e-07	cad	TRUE	TRUE	6.09151e-07
2314	19	6455429	7249359	0.00108559	2.69869e-07	3.29331661016949e-06	0.000190954	6.29124e-07	4.79602196e-06	cad	TRUE	TRUE	6.29124e-07
2094	15	94565522	95662425	0.0011667	6.45998e-07	7.08302375634518e-06	0.000245755	4.33413e-08	4.58896079166667e-07	cad	TRUE	TRUE	6.45998e-07
2471	22	26166935	27192923	0.00274153	2.74662e-24	2.471958e-22	0.000211607	6.61867e-07	4.9466987875817e-06	cad	TRUE	TRUE	6.61867e-07
938	6	15069422	16566882	0.0010699	7.1678e-07	7.78012462311558e-06	0.000202731	6.45283e-07	4.85448099013158e-06	cad	TRUE	TRUE	7.1678e-07
2106	16	4816146	5782968	0.00107426	7.45733e-07	7.93489300492611e-06	0.000202885	6.35056e-07	4.8251597076412e-06	cad	TRUE	TRUE	7.45733e-07
2095	15	95662426	96864278	0.00112293	7.64185e-07	8.02473553398058e-06	0.000268826	1.59432e-09	2.4636552972973e-08	cad	TRUE	TRUE	7.64185e-07
1671	11	60515106	61717117	0.000966848	7.88979e-07	8.19324346153846e-06	0.000215749	1.21621e-08	1.51166971195652e-07	cad	TRUE	TRUE	7.88979e-07
638	4	37880861	38984838	0.00105761	8.63496e-07	8.79282253521127e-06	0.000291395	2.26223e-11	5.4460210631579e-10	cad	TRUE	TRUE	8.63496e-07
1740	12	60317	1078397	0.000962051	8.73582e-07	8.81746317757009e-06	0.000227077	3.41028e-09	4.78485298159509e-08	cad	TRUE	TRUE	8.73582e-07
2022	14	95946793	97174314	0.00109319	9.55015e-07	9.46253394495413e-06	0.000240041	2.53778e-08	2.84505042156863e-07	cad	TRUE	TRUE	9.55015e-07
1223	7	149843000	150897818	0.000876459	1.02926e-06	1.00144216216216e-05	0.000181104	1.4882e-07	1.33812818431373e-06	cad	TRUE	TRUE	1.02926e-06
2220	17	62112374	63548724	0.00105869	1.21228e-08	1.98373090909091e-07	0.000161046	1.15767e-06	8.14643473846154e-06	cad	TRUE	TRUE	1.15767e-06
2050	15	40604781	42332685	0.000883206	1.1846e-06	1.14229285714286e-05	0.000187709	8.72162e-08	8.52407903418804e-07	cad	TRUE	TRUE	1.1846e-06
2076	15	74458114	76401952	0.000865962	1.25134e-06	1.19597097345133e-05	0.000175535	2.57945e-07	2.16882431985294e-06	cad	TRUE	TRUE	1.25134e-06
1215	7	138755108	140217630	0.00101576	1.32668e-06	1.25685473684211e-05	0.000235751	9.29094e-09	1.18706032290503e-07	cad	TRUE	TRUE	1.32668e-06
2072	15	69089816	70767983	0.00140444	3.33903e-09	6.27156939130435e-08	0.000206213	1.3811e-06	9.48521231231231e-06	cad	TRUE	TRUE	1.3811e-06
1965	14	32382246	33591113	0.0011135	1.5329e-06	1.42105751072961e-05	0.000364728	2.99432e-14	1.2228589e-12	cad	TRUE	TRUE	1.5329e-06
2469	22	23950733	25282436	0.000868157	1.54509e-06	1.42623692307692e-05	0.000324875	1.3738e-16	7.30669906976744e-15	cad	TRUE	TRUE	1.54509e-06
2135	16	53393883	54866095	0.00140472	5.31129e-09	9.17790912e-08	0.000208161	1.55947e-06	1.06462922089552e-05	cad	TRUE	TRUE	1.55947e-06
2422	20	56951774	57924037	0.00116333	5.17762e-08	7.35767052631579e-07	0.000186816	1.60796e-06	1.08478009439528e-05	cad	TRUE	TRUE	1.60796e-06
1424	9	78630916	79451035	0.00103835	9.81751e-07	9.68302356164384e-06	0.000190791	1.68262e-06	1.1223769212828e-05	cad	TRUE	TRUE	1.68262e-06
2284	18	55809316	56832312	0.00101598	3.8183e-07	4.50684590163934e-06	0.000178232	1.74982e-06	1.15697743641619e-05	cad	TRUE	TRUE	1.74982e-06
2048	15	37962916	39238840	0.00114279	1.18105e-07	1.55845317073171e-06	0.000189011	1.76569e-06	1.16372709798271e-05	cad	TRUE	TRUE	1.76569e-06
1554	10	72659224	73514214	0.00104887	1.81695e-06	1.60844754098361e-05	0.000218384	2.32024e-07	1.98741156554307e-06	cad	TRUE	TRUE	1.81695e-06
2169	16	86748868	87669168	0.0012037	2.01421e-07	2.55923152941176e-06	0.000201798	1.95766e-06	1.27192284659091e-05	cad	TRUE	TRUE	1.95766e-06
1073	6	150635316	151629954	0.00104705	2.03628e-06	1.78005774193548e-05	0.000311777	4.64092e-12	1.19256000449438e-10	cad	TRUE	TRUE	2.03628e-06
251	2	45850048	46499326	0.00101086	2.13722e-06	1.83451714285714e-05	0.00023123	2.97875e-08	3.29101509661836e-07	cad	TRUE	TRUE	2.13722e-06
1850	12	121817510	123396634	0.00121034	3.89299e-11	1.12118112e-09	0.000147718	2.26735e-06	1.4364070498615e-05	cad	TRUE	TRUE	2.26735e-06
1846	12	117091844	118256124	0.00142194	4.78402e-10	1.11112722580645e-08	0.000189522	2.27831e-06	1.43936325138122e-05	cad	TRUE	TRUE	2.27831e-06
926	6	63979	1380679	0.00507712	8.0572e-56	1.58214109090909e-53	0.000208132	2.33708e-06	1.47242478236915e-05	cad	TRUE	TRUE	2.33708e-06
1873	13	28587126	30068525	0.000996127	2.46999e-06	2.0840540625e-05	0.000273483	1.27038e-10	2.64123550909091e-09	cad	TRUE	TRUE	2.46999e-06
603	4	5972710	7135819	0.00188437	7.21654e-13	2.64198752542373e-11	0.000210629	2.5364e-06	1.57628989130435e-05	cad	TRUE	TRUE	2.5364e-06
1072	6	149278799	150635315	0.000896104	2.78423e-06	2.29539572519084e-05	0.00018564	4.44036e-07	3.52607754166667e-06	cad	TRUE	TRUE	2.78423e-06
2482	22	37364005	38718589	0.00141869	5.43285e-10	1.24839957446809e-08	0.000188344	2.7893e-06	1.71944180592992e-05	cad	TRUE	TRUE	2.7893e-06
2412	20	48212976	49236418	0.00314553	4.28732e-38	5.787882e-36	0.000156584	2.87607e-06	1.75053859102902e-05	cad	TRUE	TRUE	2.87607e-06
1493	10	6234719	6897037	0.00180271	5.06525e-15	2.43132e-13	0.000178075	2.88892e-06	1.75053859102902e-05	cad	TRUE	TRUE	2.88892e-06
1733	11	128262551	129451784	0.00260269	4.91797e-25	4.82855236363636e-23	0.000181122	2.90007e-06	1.75053859102902e-05	cad	TRUE	TRUE	2.90007e-06
974	6	38688721	39785907	0.000915751	2.97808e-06	2.40923325842697e-05	0.000218128	1.70168e-08	2.00605265979381e-07	cad	TRUE	TRUE	2.97808e-06
854	5	95117260	96467377	0.0028996	4.55213e-32	5.17505305263158e-30	0.000165252	3.14986e-06	1.89074273490814e-05	cad	TRUE	TRUE	3.14986e-06
221	2	15721704	17241115	0.00101574	3.68137e-06	2.91273230769231e-05	0.000244228	1.43681e-08	1.73861612169312e-07	cad	TRUE	TRUE	3.68137e-06
1732	11	127306872	128262550	0.00169495	2.81911e-17	1.56528553846154e-15	0.000147072	3.68598e-06	2.15596835294118e-05	cad	TRUE	TRUE	3.68598e-06
275	2	68877775	70756283	0.00109798	1.93387e-07	2.47169183431953e-06	0.000179065	3.74018e-06	2.17653731806616e-05	cad	TRUE	TRUE	3.74018e-06
581	3	183203156	184524268	0.00149538	6.76956e-11	1.85091767088608e-09	0.000184521	3.91022e-06	2.25256250377834e-05	cad	TRUE	TRUE	3.91022e-06
2274	18	45718493	46558306	0.00097441	4.0751e-06	3.21248759124088e-05	0.000256003	1.61507e-09	2.4789698590604e-08	cad	TRUE	TRUE	4.0751e-06
936	6	11790672	13352326	0.000976746	4.37603e-06	3.4123555234657e-05	0.00114495	6.56544e-78	5.00505376e-75	cad	TRUE	TRUE	4.37603e-06
1353	8	128073655	129291118	0.00104159	4.6938e-06	3.63927483870968e-05	0.000328142	3.06568e-12	8.4472411566265e-11	cad	TRUE	TRUE	4.6938e-06
1267	8	21650454	22895018	0.000985326	4.70073e-06	3.63927483870968e-05	0.00022794	5.62019e-08	5.76384508071749e-07	cad	TRUE	TRUE	4.70073e-06
2165	16	83778372	84440154	0.00115526	7.44644e-07	7.93489300492611e-06	0.000197976	4.82948e-06	2.70711293137255e-05	cad	TRUE	TRUE	4.82948e-06
271	2	64696090	65938002	0.00107224	1.69709e-07	2.19503856287425e-06	0.000169966	5.09178e-06	2.83330921167883e-05	cad	TRUE	TRUE	5.09178e-06
40	1	43512670	45167235	0.000890982	4.86141e-06	3.74540925266904e-05	0.000167683	5.12455e-06	2.83773507263923e-05	cad	TRUE	TRUE	5.12455e-06
2379	20	9279551	10279603	0.000942864	5.14768e-06	3.94290382978723e-05	0.00018489	2.35632e-06	1.48006494520548e-05	cad	TRUE	TRUE	5.14768e-06
768	4	184338585	185483262	0.00104714	5.20896e-06	3.97574332155477e-05	0.000297768	1.49987e-10	3.09027269369369e-09	cad	TRUE	TRUE	5.20896e-06
1555	10	73514215	75694023	0.00154832	1.22476e-16	6.45239414634146e-15	0.000132452	5.58521e-06	3.05583140430622e-05	cad	TRUE	TRUE	5.58521e-06
2167	16	85146806	86058597	0.00141637	2.9748e-09	5.68634336283186e-08	0.000189641	5.75995e-06	3.12897996437055e-05	cad	TRUE	TRUE	5.75995e-06
781	5	4636543	5828694	0.0011597	4.1149e-07	4.7785935483871e-06	0.000189892	5.8315e-06	3.1603413507109e-05	cad	TRUE	TRUE	5.8315e-06
335	2	144503689	145977920	0.000772728	6.17427e-06	4.66308503496503e-05	0.000288253	1.1701e-14	4.95559018518519e-13	cad	TRUE	TRUE	6.17427e-06
1389	9	14244748	14902924	0.00097621	6.32858e-06	4.7629731010453e-05	0.000241602	1.09773e-08	1.37186257377049e-07	cad	TRUE	TRUE	6.32858e-06
2355	19	48573066	49415189	0.00120135	4.77663e-10	1.11112722580645e-08	0.00014809	6.79723e-06	3.61488207888631e-05	cad	TRUE	TRUE	6.79723e-06
915	5	166863414	168342743	0.00101976	6.82963e-06	5.11753328719723e-05	0.000237067	8.45486e-08	8.33459690517241e-07	cad	TRUE	TRUE	6.82963e-06
2232	17	75619257	76596287	0.00145619	5.72237e-10	1.30108623157895e-08	0.00018261	7.76054e-06	4.04290546241458e-05	cad	TRUE	TRUE	7.76054e-06
2231	17	74908267	75619256	0.000929504	7.77396e-06	5.73097392491468e-05	0.000180829	3.88204e-06	2.24197613131313e-05	cad	TRUE	TRUE	7.77396e-06
2039	15	26392948	27563172	0.000995881	3.25335e-06	2.60268e-05	0.000177467	7.78409e-06	4.04595768863636e-05	cad	TRUE	TRUE	7.78409e-06
1856	12	128372589	129170296	0.00113698	4.93711e-07	5.64241142857143e-06	0.000181223	7.92557e-06	4.11015387528345e-05	cad	TRUE	TRUE	7.92557e-06
1037	6	106053916	107309327	0.00166146	1.48497e-12	5.17344387096774e-11	0.000177044	8.75073e-06	4.47716320134228e-05	cad	TRUE	TRUE	8.75073e-06
897	5	147180172	148662214	0.00115993	3.58334e-08	5.378535e-07	0.0001662	8.93441e-06	4.55077854565702e-05	cad	TRUE	TRUE	8.93441e-06
1119	7	20122180	21390644	0.000950472	9.88877e-06	7.0494201980198e-05	0.000235602	3.16534e-08	3.44720599047619e-07	cad	TRUE	TRUE	9.88877e-06
1568	10	88443653	89971628	0.000792605	9.96942e-06	7.0835352631579e-05	0.000203767	1.53916e-08	1.83289422797927e-07	cad	TRUE	TRUE	9.96942e-06
2203	17	37361179	38880481	0.000948484	3.83212e-08	5.70853737931034e-07	0.000133863	1.07091e-05	5.37098940789474e-05	cad	TRUE	TRUE	1.07091e-05
1723	11	117295642	118901213	0.000980467	1.14225e-05	7.83257142857143e-05	0.000271326	1.7995e-09	2.70753717105263e-08	cad	TRUE	TRUE	1.14225e-05
2133	16	50467034	52041336	0.00101268	3.00295e-06	2.41455881040892e-05	0.000176459	1.19623e-05	5.92184493506493e-05	cad	TRUE	TRUE	1.19623e-05
928	6	2746532	3964072	0.00125733	8.27902e-08	1.13181539240506e-06	0.000183621	1.22909e-05	6.03203611587983e-05	cad	TRUE	TRUE	1.22909e-05
1391	9	15839404	16658377	0.000969615	2.49538e-06	2.09728435797665e-05	0.000165806	1.24184e-05	6.08155905781585e-05	cad	TRUE	TRUE	1.24184e-05
2248	18	9816165	10675548	0.000952947	1.11213e-05	7.74110769230769e-05	0.000177227	1.28258e-05	6.26765055555556e-05	cad	TRUE	TRUE	1.28258e-05
2309	19	2253175	3085446	0.00130822	9.087e-10	1.962792e-08	0.000154674	1.31351e-05	6.37791373673036e-05	cad	TRUE	TRUE	1.31351e-05
2128	16	29043178	31384210	0.00126181	3.55471e-11	1.03759102702703e-09	0.000137629	1.34054e-05	6.48163843551797e-05	cad	TRUE	TRUE	1.34054e-05
1224	7	150897819	152253294	0.000928897	1.36157e-05	9.1052359133127e-05	0.000255254	2.42122e-09	3.57247105806452e-08	cad	TRUE	TRUE	1.36157e-05
2350	19	43960959	45040932	0.000850258	1.30696e-06	1.24362713656388e-05	0.000139685	1.40641e-05	6.77149404210526e-05	cad	TRUE	TRUE	1.40641e-05
1725	11	120064529	121208186	0.00153366	2.77908e-12	9.23509661538462e-11	0.000160352	1.4164e-05	6.79004558577406e-05	cad	TRUE	TRUE	1.4164e-05
580	3	181424324	183203155	0.00103754	8.25306e-07	8.52947827751196e-06	0.000165253	1.41917e-05	6.79004558577406e-05	cad	TRUE	TRUE	1.41917e-05
1793	12	55416803	56987105	0.00313677	2.33777e-39	3.3663888e-37	0.000133573	1.59881e-05	7.50816934291581e-05	cad	TRUE	TRUE	1.59881e-05
1038	6	107309328	109043244	0.00119433	2.05654e-08	3.24242802919708e-07	0.000161815	1.62968e-05	7.59079054989817e-05	cad	TRUE	TRUE	1.62968e-05
2089	15	89385188	90632718	0.000840941	1.67735e-05	0.000110123890577508	0.000262389	7.9606e-11	1.68573075925926e-09	cad	TRUE	TRUE	1.67735e-05
805	5	32727915	33971056	0.000836941	7.22924e-06	5.34765698630137e-05	0.00014959	1.69378e-05	7.84144708502024e-05	cad	TRUE	TRUE	1.69378e-05
2196	17	27344402	29783141	0.000675613	1.75087e-05	0.00011425616918429	0.000170447	5.41345e-08	5.5768288963964e-07	cad	TRUE	TRUE	1.75087e-05
2107	16	5782969	6446081	0.00104467	2.91585e-06	2.37669283018868e-05	0.000175297	1.75443e-05	8.07320203219316e-05	cad	TRUE	TRUE	1.75443e-05
1673	11	62800369	64594822	0.00108435	5.28253e-09	9.17790912e-08	0.000138013	1.79051e-05	8.22268347389558e-05	cad	TRUE	TRUE	1.79051e-05
2082	15	81077026	82191077	0.000787649	1.8531e-05	0.00012056313253012	0.000196077	6.32557e-08	6.42959048444445e-07	cad	TRUE	TRUE	1.8531e-05
415	2	238185483	238814630	0.000731834	1.94022e-05	0.000125100752238806	0.000141979	1.21321e-05	5.96690595698925e-05	cad	TRUE	TRUE	1.94022e-05
1482	9	138202113	138995791	0.00135779	3.66372e-10	8.89172494382022e-09	0.000155846	1.96073e-05	8.87958318811881e-05	cad	TRUE	TRUE	1.96073e-05
823	5	55968967	56896890	0.000780544	2.52742e-06	2.11597953488372e-05	0.00012991	2.04727e-05	9.18060096078431e-05	cad	TRUE	TRUE	2.04727e-05
822	5	55221399	55968966	0.000800639	2.07001e-05	0.000131506517647059	0.0003934	7.27634e-20	5.36806115483871e-18	cad	TRUE	TRUE	2.07001e-05
27	1	25885139	27992665	0.000780183	2.08452e-05	0.000131653894736842	0.000152463	1.03233e-05	5.20030552863436e-05	cad	TRUE	TRUE	2.08452e-05
1479	9	136042491	136770926	0.000791116	2.17547e-05	0.000136599279069767	0.000337201	3.59628e-16	1.713477575e-14	cad	TRUE	TRUE	2.17547e-05
972	6	36346354	37570051	0.00084693	2.30558e-05	0.000143932161849711	0.000310641	4.24665e-13	1.38744122142857e-11	cad	TRUE	TRUE	2.30558e-05
2488	22	44409534	45170649	0.000966629	1.99726e-05	0.000128014290801187	0.000179107	2.35252e-05	0.000103610775769231	cad	TRUE	TRUE	2.35252e-05
1473	9	129617772	130902727	0.000676243	2.40923e-05	0.000148260307692308	0.000170529	1.0143e-07	9.74665588235294e-07	cad	TRUE	TRUE	2.40923e-05
2408	20	44072211	45673603	0.000901907	2.49372e-05	0.000152590232294618	0.00018882	4.29924e-06	2.45196056857855e-05	cad	TRUE	TRUE	2.49372e-05
1948	13	109813577	110995432	0.000955043	2.50581e-05	0.000152896881355932	0.00106753	2.88928e-66	1.321556672e-63	cad	TRUE	TRUE	2.50581e-05
2225	17	68176220	69245590	0.000752251	2.58079e-05	0.000156023798882682	0.000155565	5.69222e-06	3.10694681145585e-05	cad	TRUE	TRUE	2.58079e-05
427	3	4835084	5496182	0.000810029	2.64169e-05	0.000158062337950139	0.000156505	1.68884e-05	7.83443626774848e-05	cad	TRUE	TRUE	2.64169e-05
1678	11	69713997	71242834	0.000850246	2.65584e-05	0.000158470011049724	0.000230769	1.46766e-08	1.76659916842105e-07	cad	TRUE	TRUE	2.65584e-05
2456	21	42187153	43081434	0.00113268	3.35716e-07	4.02270762430939e-06	0.000167472	2.7349e-05	0.000118495620643939	cad	TRUE	TRUE	2.7349e-05
2150	16	72089512	73140781	0.000693276	2.76199e-05	0.00016300268852459	0.000263333	3.47981e-13	1.17034198088235e-11	cad	TRUE	TRUE	2.76199e-05
2228	17	71466954	72383472	0.000895197	2.69502e-05	0.000160364826446281	0.000167167	2.81136e-05	0.000121084375141243	cad	TRUE	TRUE	2.81136e-05
511	3	104878978	106174685	0.000754904	9.2924e-06	6.690528e-05	0.000132356	2.85928e-05	0.000122686179362101	cad	TRUE	TRUE	2.85928e-05
2197	17	29783142	31318753	0.000778896	2.98531e-05	0.00017570216893733	0.000209544	2.43606e-08	2.75636450246305e-07	cad	TRUE	TRUE	2.98531e-05
410	2	234115093	234945577	0.00134396	2.56616e-11	7.69848e-10	0.000141038	2.99684e-05	0.000127868900746269	cad	TRUE	TRUE	2.99684e-05
2127	16	27443062	29043177	0.000721061	3.00256e-05	0.000176237217391304	0.000160132	1.57245e-06	1.06891122551929e-05	cad	TRUE	TRUE	3.00256e-05
1059	6	131457165	132890694	0.000786103	3.25482e-05	0.000186979021276596	0.000181696	9.20137e-07	6.68048672698413e-06	cad	TRUE	TRUE	3.25482e-05
1746	12	6023701	6948954	0.00192618	2.82621e-17	1.56528553846154e-15	0.000146561	3.27484e-05	0.000137929264825046	cad	TRUE	TRUE	3.27484e-05
540	3	135288395	137372141	0.000659733	3.29166e-05	0.000188131428571429	0.000210488	2.85018e-10	5.29948102439024e-09	cad	TRUE	TRUE	3.29166e-05
914	5	165289212	166863413	0.000863984	3.35693e-05	0.000190553385826772	0.00017015	1.62128e-05	7.58255083844581e-05	cad	TRUE	TRUE	3.35693e-05
1344	8	116094204	118300068	0.00100884	1.33565e-06	1.25982707423581e-05	0.000156741	3.57716e-05	0.000149560601828154	cad	TRUE	TRUE	3.57716e-05
2137	16	55907390	57119889	0.00079978	3.60536e-05	0.0002028015	0.00015633	2.11152e-05	9.43028623781676e-05	cad	TRUE	TRUE	3.60536e-05
978	6	43770627	44596897	0.000827076	3.70133e-05	0.000207121056994819	0.000228112	1.87941e-08	2.19296462755102e-07	cad	TRUE	TRUE	3.70133e-05
