outcome	pair_scope	locus	chr	start	stop	rho	se_approx	z_approx	p	fdr_within_outcome	fdr_all_tests	direction	h2_psoriasis	h2_outcome	univ_p_psoriasis	univ_p_outcome
psa	positive_control_near_neighbor	1793	12	55416803	56987105	0.921791	0.137666793882654	6.69581221442351	2.14477e-11	8.57908e-11	5.928757071428571e-10	positive	0.00314683	0.00394113	1.6211599999999998e-39	1.15773e-08
crohn	qc_flagged_ibd	1082	6	158952061	159604052	-0.945307	0.142232394978391	6.64621445869361	3.00727e-11	9.84880925e-10	7.7587566e-10	negative	0.00187582	0.00264259	4.89655e-22	5.53543e-10
psa	positive_control_near_neighbor	2251	18	12735559	13641479	1.0	0.153211161941551	6.52693959974989	6.71271e-11	2.4409854545454546e-10	1.6236367312499999e-09	positive	0.00224731	0.00376782	1.39346e-22	4.41082e-07
psa	positive_control_near_neighbor	854	5	95117260	96467377	0.902172	0.139841909947024	6.45137069668002	1.10843e-10	3.694766666666667e-10	2.5233082941176473e-09	positive	0.00284677	0.00433495	3.8035399999999997e-31	1.82236e-08
psa	positive_control_near_neighbor	1733	11	128262551	129451784	0.69274	0.11292788043716	6.13435758572912	8.5504e-10	2.6308923076923075e-09	1.838336e-08	positive	0.00262663	0.00843493	3.33001e-25	3.29722e-19
uc	qc_flagged_ibd	347	2	161432090	163607635	0.828549	0.136782226387161	6.05743174303069	1.38312e-09	6.777288000000001e-08	2.817197052631579e-08	positive	0.0050225	0.00185002	4.873510000000001e-69	2.66249e-06
psa	positive_control_near_neighbor	1063	6	137553213	138825721	0.723031	0.121953391556718	5.92874860445135	3.05252e-09	8.721485714285715e-09	5.9066262000000005e-08	positive	0.00477569	0.00493929	1.3542599999999999e-57	5.62192e-09
crohn	qc_flagged_ibd	1559	10	79952997	81190573	-0.625949	0.10976138333835	5.70281624522215	1.17844e-08	3.0875128e-07	2.1716965714285714e-07	negative	0.00278524	0.00552725	2.2248200000000002e-24	6.84405e-17
crohn	qc_flagged_ibd	2251	18	12735559	13641479	-0.658624	0.11676264015121	5.64070835626078	1.69352e-08	3.697518666666667e-07	2.979055636363636e-07	negative	0.00224055	0.0046242	1.43673e-22	7.98317e-17
uc	qc_flagged_ibd	2251	18	12735559	13641479	-0.762875	0.135686209289587	5.62234735566857	1.8838e-08	6.153746666666667e-07	3.169698260869565e-07	negative	0.00224055	0.00265688	1.43673e-22	2.19999e-09
cad	primary_systemic	347	2	161432090	163607635	0.650751	0.119558006882484	5.44297297160229	5.23986e-08	6.1830348e-06	8.16681456e-07	positive	0.00495075	0.00018963	1.99414e-67	4.67602e-08
uc	qc_flagged_ibd	908	5	158484776	159663733	0.39234	0.072098019097899	5.44175838544547	5.27572e-08	1.2925514e-06	8.16681456e-07	positive	0.0266355	0.00496835	0.0	3.7349699999999997e-22
psa	positive_control_near_neighbor	1674	11	64594823	66782661	0.934764	0.17405845471941	5.37040272767492	7.8561e-08	2.09496e-07	1.1693502692307691e-06	positive	0.00185266	0.00309277	4.2514500000000006e-18	7.78847e-06
crohn	qc_flagged_ibd	945	6	21295865	22199713	-0.846496	0.170969963492305	4.95113868371447	7.37805e-07	1.380749357142857e-05	9.517684500000001e-06	negative	0.00114859	0.00298533	2.15988e-08	1.06798e-08
cad	primary_systemic	1215	7	138755108	140217630	0.840885	0.173326929505378	4.85143885257546	1.22569e-06	7.231571e-05	1.530135580645161e-05	positive	0.0010378	0.000257363	1.0113e-06	8.60972e-10
crohn	qc_flagged_ibd	944	6	20418021	21295864	-0.790469	0.1676882778749	4.71391924359622	2.42997e-06	3.5533488e-05	2.93874496875e-05	negative	0.00143461	0.00222122	2.44313e-13	7.76437e-07
crohn	qc_flagged_ibd	228	2	24669225	25895394	-0.844601	0.179700915007317	4.70003728119922	2.60114e-06	3.5533488e-05	3.050427818181818e-05	negative	0.000849377	0.00273856	2.20693e-07	5.64813e-10
crohn	qc_flagged_ibd	26	1	23907046	25885138	0.518015	0.110416332740512	4.69147079189253	2.71248e-06	3.5533488e-05	3.0874404705882355e-05	positive	0.00700598	0.00299713	1.47915e-93	1.11774e-07
crohn	qc_flagged_ibd	58	1	67761891	68633860	-0.645466	0.13859269206397	4.65728741095578	3.20403e-06	3.815708454545455e-05	3.542741742857143e-05	negative	0.00102891	0.00594805	3.84278e-08	5.02009e-25
cad	primary_systemic	1841	12	111592382	113947983	0.605075	0.130195319540991	4.64744049273979	3.36079e-06	0.00013219107333333334	3.6128492499999994e-05	positive	0.00156785	0.000340963	1.63386e-13	1.02772e-16
crohn	qc_flagged_ibd	886	5	128734906	130573817	-0.812823	0.182885990841942	4.44442461808065	8.81274e-06	9.6205745e-05	8.975079947368422e-05	negative	0.000852689	0.00237989	5.54897e-08	5.1403e-09
crohn	qc_flagged_ibd	897	5	147180172	148662214	-0.794364	0.183862528779501	4.32042355379899	1.5573e-05	0.0001569279230769231	0.00015453207692307693	negative	0.00116221	0.00248736	3.71684e-08	1.56745e-06
uc	qc_flagged_ibd	2203	17	37361179	38880481	-0.648811	0.152357816928553	4.25846873550475	2.05832e-05	0.00040343072000000003	0.00019914246	negative	0.000935863	0.0038219	5.82674e-08	5.7751200000000004e-18
crohn	qc_flagged_ibd	1492	10	5396243	6234718	-0.520057	0.125347259761426	4.14892994860697	3.34033e-05	0.00031255945	0.0003006297	negative	0.00242758	0.00374072	1.39284e-22	4.51863e-11
crohn	qc_flagged_ibd	1569	10	89971629	91021321	-0.604644	0.149334599106093	4.04892103785298	5.14543e-05	0.0004493675533333333	0.00045256395681818177	negative	0.00190652	0.00257379	3.7449100000000005e-18	1.45193e-07
cad	primary_systemic	267	2	59251997	60775066	0.560739	0.138773025300217	4.04069161702655	5.32938e-05	0.0015721671	0.00045832668	positive	0.00132195	0.000387675	4.50952e-09	7.00011e-17
uc	qc_flagged_ibd	638	4	37880861	38984838	-0.683047	0.169764352343165	4.02350075603195	5.73394e-05	0.0009365435333333334	0.0004823988652173913	negative	0.00106126	0.00318139	8.1022e-07	4.0783e-10
cad	primary_systemic	113	1	154685546	156813845	0.631202	0.1585048698509	3.98222465084985	6.82732e-05	0.00161124752	0.0005621644340425532	positive	0.00142872	0.000241219	4.94652e-10	1.14644e-08
cad	primary_systemic	1850	12	121817510	123396634	0.692959	0.176188851929964	3.9330467984175	8.38759e-05	0.0016495593666666667	0.0006624484346938775	positive	0.00134113	0.000143914	1.19259e-12	4.14676e-06
uc	qc_flagged_ibd	1037	6	106053916	107309327	-0.502087	0.129108149262587	3.88888697473951	0.000100705	0.0014098700000000001	0.0007494775961538463	negative	0.00166146	0.00437128	1.48497e-12	7.66454e-16
cad	primary_systemic	2471	22	26166935	27192923	0.529898	0.139059531646116	3.81058381059779	0.000138639	0.0023370574285714284	0.0009580945178571428	positive	0.00277758	0.000204006	1.3417600000000001e-24	1.52013e-06
uc	qc_flagged_ibd	2274	18	45718493	46558306	-0.714215	0.189274246590054	3.77343993103778	0.000161012	0.0019723970000000003	0.0010931867368421055	negative	0.00097441	0.00254425	4.0751e-06	1.82225e-07
uc	qc_flagged_ibd	58	1	67761891	68633860	-0.542258	0.151409926427467	3.58139002372323	0.000341771	0.003721506444444444	0.00220442295	negative	0.00102891	0.00368822	3.84278e-08	1.72337e-15
cad	primary_systemic	1732	11	127306872	128262550	0.55964	0.156738001365259	3.57054444439307	0.00035624	0.00525454	0.00226008	positive	0.00172171	0.000164616	1.87706e-17	4.88697e-07
cad	primary_systemic	2412	20	48212976	49236418	0.461416	0.13485259089525	3.42163244277907	0.000622464	0.008161194666666666	0.003785942390625	positive	0.00327176	0.000170016	8.795240000000001e-40	7.11555e-07
cad	primary_systemic	1913	13	73114510	74437635	0.533419	0.158145307589437	3.37296760890823	0.000743627	0.0087747986	0.004360358318181818	positive	0.00106366	0.000321619	5.72218e-07	1.65884e-13
uc	qc_flagged_ibd	1097	7	2473750	3100211	-0.551539	0.169779181382952	3.24856672948585	0.00115988	0.011366824000000001	0.006412479428571429	negative	0.00117526	0.00228346	1.55028e-09	6.63575e-08
uc	qc_flagged_ibd	2453	21	39252060	40480831	-0.343444	0.108522503530672	3.16472610588947	0.00155229	0.013829492727272729	0.008118057162162162	negative	0.00189637	0.00688058	3.05066e-14	6.49117e-29
uc	qc_flagged_ibd	483	3	71223282	72334704	-0.503639	0.16096368259556	3.12889834451323	0.00175463	0.014329478333333335	0.0090538908	negative	0.0013253	0.00310355	1.52504e-08	3.87497e-09
cad	primary_systemic	101	1	114664388	116207297	-0.433126	0.142472904274233	3.04005875507608	0.00236532	0.02537343272727273	0.010897367142857143	negative	0.0011449	0.000396881	7.55447e-08	1.97952e-18
cad	primary_systemic	2318	19	10028841	11681978	0.178628	0.0593789878433719	3.00826953250162	0.0026274	0.025836099999999997	0.011962397647058823	positive	0.00722254	0.00106526	1.28165e-97	1.06178e-70
cad	primary_systemic	652	4	55681702	57103100	-0.482192	0.162991324269872	2.95839059017408	0.0030925	0.026243621428571427	0.013539129775280899	negative	0.00137954	0.000203397	9.79296e-11	9.19947e-08
cad	primary_systemic	275	2	68877775	70756283	0.548431	0.18551331242208	2.95628918938286	0.00311365	0.026243621428571427	0.013539129775280899	positive	0.00117805	0.000177555	4.14981e-08	4.74878e-06
uc	qc_flagged_ibd	26	1	23907046	25885138	0.327361	0.113835935344649	2.87572636012419	0.00403099	0.03038746307692308	0.016774119677419354	positive	0.00700598	0.00239406	1.47915e-93	8.73135e-07
cad	primary_systemic	431	3	8664893	9970731	-0.430999	0.151615706340265	2.84270680395557	0.00447322	0.035189330666666664	0.0183593203125	negative	0.00177262	0.0002468	5.64969e-12	7.31928e-08
uc	qc_flagged_ibd	768	4	184338585	185483262	0.448104	0.159501622889404	2.80940088183747	0.00496338	0.034743659999999996	0.01980235113402062	positive	0.00104326	0.00433308	5.83721e-06	4.08657e-14
uc	qc_flagged_ibd	1749	12	8760629	10176713	-0.41864	0.152715145693974	2.74131290709641	0.00611942	0.03998021066666667	0.02416546469387755	negative	0.00221578	0.0019499	3.20216e-21	5.62254e-06
