locus	chr	pos	probe	gene	strand
2318	19	10982189	ENSG00000142453	CARM1	+
2318	19	11033444	ENSG00000130733	YIPF2	-
2318	19	11039409	ENSG00000142444	C19orf52	+
2318	19	11071598	ENSG00000127616	SMARCA4	+
2318	19	11200038	ENSG00000130164	LDLR	+
2318	19	11242196	ENSG00000161888	SPC24	-
2318	19	11274943	ENSG00000197256	KANK2	-
2318	19	11309971	ENSG00000130158	DOCK6	-
2318	19	11314304	ENSG00000267082	CTC-510F12.2	+
2318	19	11348178	ENSG00000130173	C19orf80	+
2318	19	11432722	ENSG00000105514	RAB3D	-
2318	19	11453452	ENSG00000105518	TMEM205	-
2318	19	11455360	ENSG00000183401	CCDC159	+
2318	19	11466062	ENSG00000105520	DKFZP761J1410	+
2318	19	11478799	ENSG00000267277	CTD-2342J14.6	-
2318	19	11485361	ENSG00000173928	SWSAP1	+
2318	19	11488236	ENSG00000187266	EPOR	-
2318	19	11495017	ENSG00000205517	RGL3	-
2318	19	11531272	ENSG00000198003	CCDC151	-
2318	19	11546109	ENSG00000130175	PRKCSH	+
2318	19	11562141	ENSG00000196361	ELAVL3	-
2318	19	11594242	ENSG00000161914	ZNF653	-
2318	19	11616731	ENSG00000130159	ECSIT	-
2318	19	11632783	ENSG00000213304	CTC-398G3.1	+
2318	19	11649532	ENSG00000130176	CNN1	+
2318	19	11661962	ENSG00000130165	ELOF1	-
2318	19	11670189	ENSG00000198551	ZNF627	+
