outcome	tissue	gene	gene_id	locus	region	phase4br_tier	local_direction_group	phase4c_eqtl_gene_tier	n_eqtl_variants	n_gwas_variants	n_matched_variants	nsnps	gwas_n	gwas_case_fraction	eqtl_n	status	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	note	interpretation_tier
psa	Skin_Sun_Exposed_Lower_leg	RP11-977G19.11	ENSG00000257303	1793	12:55416803-56987105	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	4188	3524	2031	2031	26351	0.192212819247846	605	PASS	4.84958219829911e-40	2.89443732116297e-18	4.21359270437901e-23	0.250735904751089	0.749264095248911	Restricted coloc completed.	suggestive_PP4_0p5_to_0p8
psa	Whole_Blood	RP11-977G19.11	ENSG00000257303	1793	12:55416803-56987105	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	4188	3524	2035	2035	26351	0.192212819247846	670	PASS	2.48426106654689e-25	0.00148271287144022	3.79433928149628e-23	0.225689510140892	0.772827776987664	Restricted coloc completed.	suggestive_PP4_0p5_to_0p8
psa	Cells_EBV-transformed_lymphocytes	RPS26	ENSG00000197728	1793	12:55416803-56987105	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	4175	3524	2036	2036	26351	0.192212819247846	147	PASS	3.71689958680396e-118	2.21840406928947e-96	1.67548357770298e-22	1	1.2762652401827e-20	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Skin_Not_Sun_Exposed_Suprapubic	RPS26	ENSG00000197728	1793	12:55416803-56987105	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	4188	3524	2037	2037	26351	0.192212819247846	517	PASS	0	0	1.67548357770326e-22	1	1.27432953631572e-20	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Skin_Sun_Exposed_Lower_leg	RPS26	ENSG00000197728	1793	12:55416803-56987105	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	4188	3524	2031	2031	26351	0.192212819247846	605	PASS	0	0	1.67548357770326e-22	1	1.27432953631572e-20	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Spleen	RPS26	ENSG00000197728	1793	12:55416803-56987105	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	4188	3524	2036	2036	26351	0.192212819247846	227	PASS	0	0	1.67548357770307e-22	1	1.27432953631543e-20	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Whole_Blood	RPS26	ENSG00000197728	1793	12:55416803-56987105	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	4188	3524	2035	2035	26351	0.192212819247846	670	PASS	0	0	1.67548357770288e-22	1	1.27432953631528e-20	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Skin_Not_Sun_Exposed_Suprapubic	SUOX	ENSG00000139531	1793	12:55416803-56987105	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	4188	3524	2037	2037	26351	0.192212819247846	517	PASS	6.53898152034758e-60	3.90274283040856e-38	1.67548357770298e-22	1	2.45154464128479e-20	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Skin_Sun_Exposed_Lower_leg	SUOX	ENSG00000139531	1793	12:55416803-56987105	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	4188	3524	2031	2031	26351	0.192212819247846	605	PASS	3.82794384866162e-94	2.28468001692358e-72	1.67548357770298e-22	1	3.91373242949776e-21	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Spleen	SUOX	ENSG00000139531	1793	12:55416803-56987105	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	4188	3524	2036	2036	26351	0.192212819247846	227	PASS	1.47411507833774e-38	8.79814698248909e-17	1.67548357770298e-22	1	1.43929389570362e-17	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Whole_Blood	SUOX	ENSG00000139531	1793	12:55416803-56987105	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	4188	3524	2035	2035	26351	0.192212819247846	670	PASS	4.48610709163463e-44	2.6774998879935e-22	1.67548357770298e-22	1	6.32170245802761e-21	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Skin_Not_Sun_Exposed_Suprapubic	TYK2	ENSG00000105397	2318	19:10028841-11681978	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	4109	4906	3435	3435	26351	0.192212819247846	517	PASS	1.29312969602562e-44	1.61934016925004e-07	7.98553263794501e-38	0.999999753476518	8.45894689611468e-08	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Skin_Sun_Exposed_Lower_leg	TYK2	ENSG00000105397	2318	19:10028841-11681978	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	4109	4906	3435	3435	26351	0.192212819247846	605	PASS	1.67401922201412e-42	2.09631452949825e-05	7.98533008248308e-38	0.999974383610242	4.65324445847406e-06	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Spleen	TYK2	ENSG00000105397	2318	19:10028841-11681978	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	4109	4906	3434	3434	26351	0.192212819247846	227	PASS	8.43406131398666e-41	0.00105616739895716	7.97598331128727e-38	0.998803785416116	0.00014004718492978	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Whole_Blood	TYK2	ENSG00000105397	2318	19:10028841-11681978	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	4109	4906	3433	3433	26351	0.192212819247846	670	PASS	4.71029435237038e-47	5.8985335169612e-10	7.98553424866016e-38	0.999999955221029	4.41891226217152e-08	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Skin_Not_Sun_Exposed_Suprapubic	ICAM5	ENSG00000105376	2318	19:10028841-11681978	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	3844	4906	3245	3245	26351	0.192212819247846	517	PASS	5.19509135312923e-43	6.50562749962479e-06	7.98547838937887e-38	0.99999295967207	5.34700429990057e-07	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Skin_Sun_Exposed_Lower_leg	ICAM5	ENSG00000105376	2318	19:10028841-11681978	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	3844	4906	3245	3245	26351	0.192212819247846	605	PASS	6.93611166524553e-48	8.68584510312982e-11	7.98553460503289e-38	0.999999999892481	2.06551279863699e-11	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Spleen	ICAM5	ENSG00000105376	2318	19:10028841-11681978	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	3844	4906	3244	3244	26351	0.192212819247846	227	PASS	1.24968178529999e-42	1.56493190121301e-05	7.98539161674342e-38	0.999982091720341	2.25896065354428e-06	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Whole_Blood	ICAM5	ENSG00000105376	2318	19:10028841-11681978	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	3844	4906	3244	3244	26351	0.192212819247846	670	PASS	4.57461042705752e-39	0.0572862137956622	7.49887832241178e-38	0.93905411071843	0.00365967548591364	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Skin_Not_Sun_Exposed_Suprapubic	MRPL4	ENSG00000105364	2318	19:10028841-11681978	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	3646	4906	3097	3097	26351	0.192212819247846	517	PASS	1.7424267618429e-50	2.18197885030442e-13	7.98553460588944e-38	0.999999999999758	1.81436525105236e-14	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Skin_Sun_Exposed_Lower_leg	MRPL4	ENSG00000105364	2318	19:10028841-11681978	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	3646	4906	3097	3097	26351	0.192212819247846	605	PASS	5.53953563560796e-56	6.93696278207991e-19	7.98553460589148e-38	1	5.03119975332232e-20	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
