outcome	pair_scope	locus	chr	start	stop	rho	se_approx	z_approx	p	fdr_within_outcome	fdr_all_tests	direction	h2_psoriasis	h2_outcome	univ_p_psoriasis	univ_p_outcome	outcome_label	locus_label	show_text
psa	positive_control_near_neighbor	908	5	158484776	159663733	0.944787	0.047863138175183	19.7393450580278	9.90536e-87	3.9621439999999997e-85	3.8333743199999993e-84	positive	0.0264938	0.020689	0	1.55217e-73	PsA	L908 chr5:158.5-159.7Mb	0.94
psa	positive_control_near_neighbor	1041	6	111363444	112342873	1	0.0912907497738667	10.9540123449207	6.3568e-28	1.2713599999999999e-26	1.2300408e-25	positive	0.00523373	0.00750383	3.80085e-82	1.20816e-22	PsA	L1041 chr6:111.4-112.3Mb	1.00
psa	positive_control_near_neighbor	26	1	23907046	25885138	0.753912	0.0818538120065603	9.21046902421083	3.24703e-20	4.3293733333333325e-19	2.51320122e-18	positive	0.00710561	0.0100053	7.161709999999999e-95	2.93712e-23	PsA	L26 chr1:23.9-25.9Mb	0.75
psa	positive_control_near_neighbor	2318	19	10028841	11681978	0.930798	0.102123439055575	9.11444041258208	7.90775e-20	7.907749999999998e-19	5.100498749999999e-18	positive	0.00725078	0.00620076	3.779039999999999e-98	7.23944e-12	PsA	L2318 chr19:10-11.7Mb	0.93
psa	positive_control_near_neighbor	57	1	66778016	67761890	0.740363	0.0843249489028366	8.77988080198048	1.63648e-18	1.309184e-17	9.047396571428571e-17	positive	0.0053474	0.00999499	1.32032e-83	1.2148099999999999e-32	PsA	L57 chr1:66.8-67.8Mb	0.74
psa	positive_control_near_neighbor	347	2	161432090	163607635	0.847701	0.111819752359168	7.58095937538088	3.43009e-14	1.715045e-13	1.3274448299999998e-12	positive	0.00513482	0.0053617099999999996	1.5363000000000002e-71	2.48993e-12	PsA	L347 chr2:161.4-163.6Mb	0.85
psa	positive_control_near_neighbor	887	5	130573818	132554690	0.807433	0.109936284257939	7.34455421565416	2.06446e-13	9.175377777777778e-13	6.6929392499999995e-12	positive	0.00357728	0.00606813	5.78974e-49	1.2929e-16	PsA	L887 chr5:130.6-132.6Mb	0.81
psa	positive_control_near_neighbor	2251	18	12735559	13641479	1	0.153211161941551	6.52693959974989	6.71271e-11	2.440985454545454e-10	1.6236367312499999e-9	positive	0.00224731	0.00376782	1.39346e-22	4.41082e-7	PsA	L2251 chr18:12.7-13.6Mb	1.00
uc	qc_flagged_ibd	57	1	66778016	67761890	-0.689577	0.0669983214236272	10.2924518905457	7.62106e-25	7.4686388e-23	9.8311674e-23	negative	0.00521621	0.00929634	2.52945e-81	3.5364e-61	UC	L57 chr1:66.8-67.8Mb	-0.69
uc	qc_flagged_ibd	347	2	161432090	163607635	0.828549	0.136782226387161	6.05743174303069	1.38312e-9	6.777288000000002e-8	2.8171970526315793e-8	positive	0.0050225	0.00185002	4.873510000000001e-69	2.66249e-6	UC	L347 chr2:161.4-163.6Mb	0.83
uc	qc_flagged_ibd	2251	18	12735559	13641479	-0.762875	0.135686209289587	5.62234735566857	1.8838e-8	6.153746666666667e-7	3.169698260869565e-7	negative	0.00224055	0.00265688	1.43673e-22	2.19999e-9	UC	L2251 chr18:12.7-13.6Mb	-0.76
uc	qc_flagged_ibd	908	5	158484776	159663733	0.39234	0.072098019097899	5.44175838544547	5.27572e-8	1.2925514e-6	8.16681456e-7	positive	0.0266355	0.00496835	0	3.73497e-22	UC	L908 chr5:158.5-159.7Mb	0.39
uc	qc_flagged_ibd	2203	17	37361179	38880481	-0.648811	0.152357816928553	4.25846873550475	2.05832e-5	4.0343072e-4	1.9914246e-4	negative	9.35863e-4	0.0038219	5.82674e-8	5.77512e-18	UC	L2203 chr17:37.4-38.9Mb	-0.65
uc	qc_flagged_ibd	26	1	23907046	25885138	0.327361	0.113835935344649	2.87572636012419	0.00403099	0.03038746307692308	0.01677411967741935	positive	0.00700598	0.00239406	1.4791499999999998e-93	8.73135e-7	UC	L26 chr1:23.9-25.9Mb	0.33
uc	qc_flagged_ibd	113	1	154685546	156813845	0.310791	0.15685005234728	1.98145295681432	0.0475405	0.18635876	0.12184220860927152	positive	0.00140234	0.00287991	6.99071e-10	8.2356e-9	UC	L113 chr1:154.7-156.8Mb	
uc	qc_flagged_ibd	887	5	130573818	132554690	-0.260275	0.142087994963688	1.83178740798274	0.0669831	0.2286867172413793	0.162015373125	negative	0.00362657	0.00157472	7.56973e-50	6.92131e-6	UC	L887 chr5:130.6-132.6Mb	
uc	qc_flagged_ibd	1841	12	111592382	113947983	-0.284017	0.155440014835378	1.82718073142746	0.0676726	0.2286867172413793	0.1626664360248447	negative	0.00157466	0.0022954	1.19098e-13	1.02716e-7	UC	L1841 chr12:111.6-113.9Mb	
uc	qc_flagged_ibd	2318	19	10028841	11681978	-0.00929672	0.0973559520175957	0.0954920557740502	0.923924	0.9862008210526316	0.9711137432432432	negative	0.00698949	0.00337018	2.64956e-94	4.24777e-11	UC	L2318 chr19:10-11.7Mb	
