phen	h2.obs	h2.latent	ascertained	p	locus	chr	start	stop	outcome
psoriasis	0.00180474	0.00631315	FALSE	1.95074e-19	1649	11	36331190	37119024	psa
psa	0.00312464	0.00649537	FALSE	1.3164e-06	1649	11	36331190	37119024	psa
psoriasis	0.00224731	0.0078613	FALSE	1.39346e-22	2251	18	12735559	13641479	psa
psa	0.00376782	0.00783237	FALSE	4.41082e-07	2251	18	12735559	13641479	psa
psoriasis	0.00118789	0.00415534	FALSE	1.0158e-09	1097	7	2473750	3100211	psa
psa	0.0033185	0.00689834	FALSE	3.00028e-06	1097	7	2473750	3100211	psa
psoriasis	0.0026798	0.00937419	FALSE	2.03917e-23	2471	22	26166935	27192923	psa
psa	0.00429229	0.00892263	FALSE	1.03538e-06	2471	22	26166935	27192923	psa
psoriasis	0.00158459	0.00554306	FALSE	2.82813e-12	586	3	189451806	190591293	psa
psa	0.00398653	0.00828702	FALSE	9.10009e-07	586	3	189451806	190591293	psa
psoriasis	0.00157229	0.00550004	FALSE	4.7867e-10	2159	16	78973581	79662634	psa
psa	0.00516125	0.010729	FALSE	4.76255e-08	2159	16	78973581	79662634	psa
psoriasis	0.00457296	0.0159966	FALSE	2.81345e-72	1968	14	35379989	36422077	psa
psa	0.00260155	0.00540798	FALSE	4.47784e-06	1968	14	35379989	36422077	psa
psoriasis	0.000988522	0.00345794	FALSE	4.32814e-06	771	4	186881569	187985393	psa
psa	0.00459365	0.00954908	FALSE	1.10822e-07	771	4	186881569	187985393	psa
psoriasis	0.00110843	0.00387741	FALSE	1.68466e-07	1038	6	107309328	109043244	psa
psa	0.00352412	0.00732579	FALSE	8.33223e-06	1038	6	107309328	109043244	psa
psoriasis	0.00110102	0.00385148	FALSE	3.06746e-06	888	5	132554691	134556570	psa
psa	0.00385573	0.00801513	FALSE	1.7999e-05	888	5	132554691	134556570	psa
psoriasis	0.00185266	0.00648077	FALSE	4.25145e-18	1674	11	64594823	66782661	psa
psa	0.00309277	0.00642911	FALSE	7.78847e-06	1674	11	64594823	66782661	psa
psoriasis	0.00108857	0.00380793	FALSE	1.195e-06	1071	6	148184845	149278798	psa
psa	0.00396821	0.00824894	FALSE	4.21692e-06	1071	6	148184845	149278798	psa
psoriasis	0.00129917	0.00454462	FALSE	6.21907e-08	196	1	244723197	245970505	psa
psa	0.00433768	0.00901697	FALSE	1.34346e-06	196	1	244723197	245970505	psa
psoriasis	0.00176008	0.00615692	FALSE	1.41166e-13	2370	20	884242	1771285	psa
psa	0.00418989	0.00870975	FALSE	6.27921e-07	2370	20	884242	1771285	psa
psoriasis	0.00335455	0.0117345	FALSE	7.86616e-42	1410	9	32253284	33194892	psa
psa	0.00301606	0.00626964	FALSE	8.9752e-06	1410	9	32253284	33194892	psa
psoriasis	0.00088343	0.00309032	FALSE	3.42594e-09	2194	17	21432874	25872110	psa
psa	0.00224106	0.00465862	FALSE	1.26574e-05	2194	17	21432874	25872110	psa
psoriasis	0.0010703	0.003744	FALSE	1.49675e-06	1073	6	150635316	151629954	psa
psa	0.00426057	0.00885668	FALSE	9.40321e-07	1073	6	150635316	151629954	psa
psoriasis	0.00106262	0.00371714	FALSE	1.27602e-07	1314	8	79756170	81340231	psa
psa	0.00371971	0.00773238	FALSE	1.34041e-06	1314	8	79756170	81340231	psa
psoriasis	0.00137721	0.00481762	FALSE	4.48402e-09	2244	18	5575813	6756496	psa
psa	0.00398074	0.008275	FALSE	3.98021e-06	2244	18	5575813	6756496	psa
psoriasis	0.000985124	0.00344606	FALSE	1.43931e-05	915	5	166863414	168342743	psa
psa	0.0043628	0.0090692	FALSE	1.34018e-06	915	5	166863414	168342743	psa
psoriasis	0.00112845	0.00394744	FALSE	6.03075e-07	1856	12	128372589	129170296	psa
psa	0.0039305	0.00817055	FALSE	3.56452e-06	1856	12	128372589	129170296	psa
psoriasis	0.00101901	0.00356459	FALSE	4.58093e-07	407	2	230541093	231847386	psa
psa	0.00349305	0.00726119	FALSE	5.51952e-06	407	2	230541093	231847386	psa
psoriasis	0.000721992	0.0025256	FALSE	2.15192e-05	2204	17	38880482	40233545	psa
psa	0.00362909	0.00754399	FALSE	1.97183e-07	2204	17	38880482	40233545	psa
