GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
142678       1    1550795    1565990     35       6   67683       1.4386     0.075126
8510         1    1567060    1570030      3       2   68488        1.504     0.066292
984          1    1571100    1590473     32       4   46091     -0.71943      0.76406
728661       1    1591486    1624243     83      13   48032       1.1714      0.12073
728642       1    1633822    1655999     88       4   41792        1.045      0.14801
9906         1    1656277    1677438     81       9   52157      0.23696      0.40635
65220        1    1682671    1711508     82      12   77855     0.052419       0.4791
2782         1    1716725    1822552    199      28   76172      0.75214      0.22598
163688       1    1846266    1848733     10       3  103614      0.67638       0.2494
339456       1    1849029    1850740      7       3   86649        1.065      0.14343
85452        1    1853390    1935276    394      28   80377       2.6835    0.0036425
2563         1    1950768    1962192     35       9   73946      0.84952       0.1978
5590         1    1981909    2116834    514      35   83022      0.80846      0.20941
100506504    1    2113250    2115812      8       5   65935       1.2539      0.10494
199990       1    2115899    2144159     66      16   84687       1.0048      0.15751
6497         1    2160134    2241652    313      56   85644      0.26565      0.39526
79906        1    2251719    2323190    411      50   87371       1.5618     0.059172
11079        1    2323214    2336883     50      16   81783        1.509     0.065647
5192         1    2336241    2344010     33      13   80922       1.9537     0.025367
9651         1    2407754    2436964    120      25   76837      0.88049       0.1893
55229        1    2439975    2458061     79      16   73466      0.32822      0.37137
388585       1    2460184    2461684      5       3   86355       1.2691       0.1022
8764         1    2487291    2495268     28       8   75359      0.79708       0.2127
127281       1    2517899    2522908     17       8   74192       2.0772     0.018891
79258        1    2522078    2564499    203      15   86803       1.9826     0.023706
100287898    1    2572807    2706230    367      22   55566    0.0012315      0.49951
140625       1    2938046    2939467      4       2   66484     -0.65087      0.74243
63976        1    2985565    3355185   1873     191   81802      0.61453      0.26943
27237        1    3371147    3397677    115      16   85201       1.3904     0.082207
1953         1    3404506    3528059    639      92   81337       1.9296     0.026825
127262       1    3541556    3546695     14       5   88431        0.947      0.17182
49856        1    3547331    3566671     59      16   73205       2.5059    0.0061067
7161         1    3569129    3652765    379      68   84404       2.6986    0.0034817
148870       1    3668965    3688209     85      20   79705       1.7208     0.042644
388588       1    3689352    3692546     13       5   95453       2.0218     0.021598
57470        1    3696784    3713068     89      17   89866       2.8659     0.002079
9731         1    3728645    3773797    324      19   94680       1.8676     0.030908
1677         1    3773845    3801993    189      26   85824      0.99972      0.15872
339448       1    3805697    3816857     56      12   79314      -1.6511      0.95064
55966        1    4715105    4843851    766      90   92778      0.73327       0.2317
261734       1    5922870    6052618    520      27   86376     -0.25725      0.60151
8514         1    6052358    6161253    405      63   84825     0.083955      0.46655
26038        1    6161847    6240194    361      39   86941      0.01936      0.49228
6146         1    6245080    6259679     39       8   89083      0.20324      0.41947
388591       1    6266189    6281359     53       9   74110       1.0842      0.13914
23463        1    6281253    6296044     42       9   76715      0.89936      0.18423
390992       1    6304252    6305638      6       3   78838      0.92027      0.17872
387509       1    6307406    6321035     47       5   87634       1.5132     0.065115
11332        1    6324332    6453826    584      31   84458      0.80056      0.21169
54626        1    6475292    6484724     33       7   91556     -0.59399      0.72374
83715        1    6484836    6521004    131      17   87207     -0.10016      0.53989
8718         1    6520787    6527432     29      11   77213      0.31022       0.3782
57449        1    6526152    6580121    200      38   82095      0.26338      0.39613
79707        1    6581407    6614658    155       8   87877     -0.61388      0.73035
80835        1    6614987    6639817     81      16   77645     -0.43629      0.66869
3104         1    6640051    6649340     18       9   78364      0.88945      0.18688
9903         1    6650784    6662958     45      17   82335      0.98692      0.16184
148479       1    6673756    6684093     31       8   75785       1.4628     0.071764
90326        1    6684925    6695646     43      11   83587      0.44431      0.32841
55735        1    6694228    6761966    221      34   79963        1.446     0.074092
23261        1    6845384    7829766   3606     259   87183       0.7606      0.22345
9341         1    7831329    7841492     40      11   93167      0.89958      0.18417
8863         1    7844413    7905241    277      26   91926      0.86704      0.19296
10911        1    7907672    7913551     34      12   81128       1.4288     0.076535
3604         1    7975931    8003225     75      13   85791       2.3089     0.010475
11315        1    8021714    8045342     84      19   78682       2.9377    0.0016532
54206        1    8071779    8086393     34      10   79993       2.8472    0.0022056
50651        1    8378171    8404227    104      18   87421       2.3953    0.0083043
473          1    8412464    8877699    967      44   83421       1.9641     0.024761
2023         1    8921059    8939151     38      10   76887       1.3616     0.086657
765          1    9005893    9035151    156      34   89286       3.1559   0.00079997
155184       1    9063359    9086404    104      31   78239       1.3234     0.092843
6518         1    9097005    9131763    157      23   85725      0.47335      0.31798
80045        1    9163472    9189229     88      17   81399      0.38782      0.34908
9563         1    9294822    9331396    135      28   86403       1.2984     0.097071
80176        1    9335202    9429591    562      84   87270      -1.1923      0.88342
84275        1    9599528    9642831     81      14   81280      0.67403      0.25015
199953       1    9648932    9674935     66      17   72972      0.27228       0.3927
5293         1    9711789    9789172    219      48   69682      0.28517      0.38776
22883        1    9789079    9884550    330      19   58110      0.41714      0.33829
56998        1    9908334    9970316    138      29   63614     -0.13602       0.5541
84328        1    9982168   10003460     58      12   84036     -0.24011      0.59488
64802        1   10003486   10045556    108      19   83483     0.089371      0.46439
116362       1   10057255   10076078     53       9   82820     0.091609       0.4635
10277        1   10093041   10241297    471      33   76083     -0.71038      0.76127
23095        1   10270606   10441664    644      22   90262       2.4365    0.0074151
5226         1   10458884   10480565     62      11   89187       3.3963   0.00034146
378708       1   10489944   10510239     76      11   85962       1.9184     0.027532
100526739    1   10490159   10512060     78      11   85617       1.8939     0.029118
1325         1   10509776   10512060      5       2   90984       1.3119     0.094773
1676         1   10520588   10532613     35      12   70112       1.3216     0.093146
5195         1   10535003   10690815    503      41   86081       1.9788     0.023918
54897        1   10696661   10856733    561      90   82172       3.6017   0.00015807
148345       1   11006530   11042094    155      23   82964      0.91666      0.17966
23435        1   11072462   11085549     25       4   92471       3.2615   0.00055416
10747        1   11086580   11107296     75      12   77556       3.2615   0.00055412
6723         1   11114649   11120091      9       3   94469       2.2819     0.011247
5394         1   11126675   11159961    114       8   87047       1.7906     0.036679
2475         1   11166588   11322614    389      13   86867       1.5132      0.06511
10218        1   11249346   11256038     18       4   78703      0.11891      0.45267
29914        1   11333255   11348491     27       5   88091         2.65    0.0040244
57540        1   11539295   11597640    181      21   89723      0.31202      0.37751
26232        1   11707924   11714888     26      15   80324      0.32592      0.37224
93611        1   11714432   11723384     30      10   88485     -0.85509      0.80375
26270        1   11724150   11734411     44      11   86050     -0.16705      0.56634
10459        1   11734537   11751678     74      16   91897      -1.5974      0.94491
374946       1   11751781   11780336    107      20   87561     -0.21389      0.58468
57085        1   11796142   11810828     42       9   90766       1.2874     0.098979
284498       1   11823827   11849642    158      11   98883      0.46163      0.32217
4524         1   11845787   11866160     88      13   92750       3.8292   6.4275e-05
1185         1   11866153   11903201    216      16   96399       4.2438   1.0987e-05
4878         1   11905766   11907840     16       4  101416       4.2077   1.2899e-05
4879         1   11917521   11918992      2       1   38747     -0.18057      0.57165
90231        1   11979645   11986485     26       9   91484       4.0475   2.5881e-05
5351         1   11994724   12035599    153      20   86461         5.15   1.3024e-07
9927         1   12040238   12073572    108      13   90265       6.6779   1.2122e-11
60672        1   12079299   12092106     28       7   91671       3.2458   0.00058567
943          1   12123434   12204264    266      46   85744       1.9746     0.024158
7133         1   12227044   12269279    158      22   88388      0.50697      0.30609
55187        1   12290101   12572099    657      31   82036      -2.2608      0.98812
9249         1   12627939   12677820    201      40   90450       1.3448     0.089351
343066       1   12704566   12727097     67       9   74270       1.3571     0.087377
126767       1   12776118   12788726     44       6   88918      0.86648      0.19311
93190        1   12806163   12821102     47      10   78364       0.2308      0.40873
390999       1   12834984   12838049     11       3   76362      0.79761      0.21255
65121        1   12851546   12856777     40      11   42064      -1.9778      0.97603
440560       1   12884468   12891264     15       5   26792     -0.22172      0.58774
343069       1   12907261   12908578      7       3   35453       1.3415     0.089875
65122        1   12916941   12921764     43       6   38426       0.7269      0.23364
400735       1   12939033   12946025      3       1   24998      0.99578      0.15968
440563       1   13182960   13184326      6       2   66356     -0.23563      0.59314
391003       1   13474053   13477569      5       1   27604       1.3815     0.083562
126755       1   13801445   13840242    193      42   88783      0.07036      0.47195
10630        1   13910252   13944452    147      34   78541       2.2951     0.010863
7799         1   14026714   14151574    451      39   89636      0.39734      0.34556
23254        1   14219646   15444544   5789     406   88691       1.6256     0.052022
55092        1   15479028   15546974    393      30   96321      0.91981      0.17884
727684       1   15490692   15498120     34       9   92444       1.4544     0.072922
114827       1   15573730   15724767    607      74   87987     0.021711      0.49134
79180        1   15736391   15756839     76      23   91616      -2.3511      0.99064
11330        1   15764938   15773153     30      11   81713     -0.71994      0.76422
63036        1   15783223   15798586     73      13   92323     -0.59616      0.72446
51032        1   15802596   15817895     56      11   88996       1.7538     0.039734
842          1   15817896   15851407    155      13   89310       2.2799     0.011308
23341        1   15853343   15898228    141      17   87518       1.7547     0.039657
79814        1   15898194   15911605     70       9   90440       1.7638     0.038879
84301        1   15943953   15995539    142      10   89247     -0.75308       0.7743
6248         1   15986364   15988217      4       2   82069      -2.1947      0.98591
23207        1   16010632   16061264    193      21   85177      -1.4484      0.92624
284723       1   16062721   16067884     10       5   74786     -0.36098      0.64094
388595       1   16068987   16074292     26       7   74503      0.17339      0.43117
54751        1   16083107   16113089    113      23   65195    -0.074875      0.52984
440567       1   16133657   16134194      5       2   90566        1.298     0.097143
23013        1   16174359   16266951    234      34   74848       2.3587    0.0091683
7709         1   16268364   16302627     89      26   71876       3.2883   0.00050404
101928566    1   16302626   16323701     96      16   88442       3.0996    0.0009689
149563       1   16330731   16333184     16       6   83217          1.8     0.035927
27129        1   16340523   16346084     46       5   98923       3.4354   0.00029589
1187         1   16348486   16360548     84      14   85133        2.854    0.0021587
1188         1   16370231   16383821    145      17   90212      0.60618       0.2722
348487       1   16384264   16400127    110      16   80458       0.4372      0.33098
1969         1   16450832   16482582     84      24   79078     -0.60874      0.72865
128272       1   16524599   16539104     69      10   85794    -0.098625      0.53928
101927546    1   16551343   16553528      9       2   87024      0.45697      0.32385
79363        1   16558182   16563659     18       8   88901      0.24414      0.40356
54455        1   16573339   16678965    276      15   87671     -0.21652      0.58571
26099        1   16693525   16724643     70      11   85831    -0.056381      0.52248
374955       1   16722101   16763919    140      26   86933     -0.64798       0.7415
55707        1   16767167   16786585     54      15   84208    -0.067388      0.52686
9696         1   17248445   17299474    177      25   70750     -0.80054       0.7883
4237         1   17300997   17308081     21       5   90258       1.0069      0.15699
23400        1   17312453   17338467     67      15   87761       1.2345       0.1085
6390         1   17345217   17380665    132      15   91796      -0.3485      0.63627
11240        1   17393256   17445948    310      22   92209      0.29415      0.38432
29943        1   17531621   17572501    211      61   83903       1.4509     0.073406
51702        1   17575593   17610728    205      33   91412      0.30355      0.38074
23569        1   17634690   17690495    360      32   92678     -0.58843      0.72188
353238       1   17698741   17728195    199      21   92645        1.917     0.027621
55920        1   17733251   17766250     99      19   85571       1.4148     0.078558
55160        1   17846693   18024370    574      69   83251       1.2423      0.10706
81569        1   18081808   18153558    261      29   89569      -1.4352      0.92439
84966        1   18434240   18704977   1213     151   89624      0.54842       0.2917
127707       1   18807424   18812540     28       6   99152      0.51444      0.30347
5081         1   18957500   19075360    461      79   86251      -0.9623      0.83205
80834        1   19166093   19186155    132      26   91474      0.23994      0.40519
8659         1   19197924   19229293    185      32   83160       -0.574      0.71702
126917       1   19230774   19282826    263      43   81230     -0.12763      0.55078
23352        1   19401000   19536812    361      27   82869       1.4355     0.075567
23065        1   19542158   19578053    137      20   86921       1.3378     0.090477
51154        1   19578075   19586622     59      10   94366       1.1154      0.13234
22977        1   19609057   19615280     31       6   89955      0.10192      0.45941
8574         1   19629202   19638640     34      14   89913      0.92908      0.17642
54896        1   19638740   19658925    120      19   90771       2.0071      0.02237
832          1   19665267   19812066    677      34   87608      0.62504      0.26597
440574       1   19923471   19956315    107      21   80213     0.033136      0.48678
100532736    1   19923471   19984949    253      35   80354   -0.0036836      0.50147
4681         1   19969723   19984949     77      25   83926      0.31196      0.37754
3362         1   19991780   20006055     58      13   82394       1.3425     0.089714
255104       1   20008706   20126424    466      67   91588      0.62435       0.2662
54546        1   20140522   20141771      9       6   71045     0.034259      0.48634
23252        1   20208356   20239438     97      20   90587      0.97699      0.16429
30814        1   20246800   20250110     21       7   89019      -1.7514      0.96006
5320         1   20301924   20306932     23      12   77646      0.85847      0.19532
5322         1   20386157   20418394    139      24   92025      -1.8139      0.96515
26279        1   20439143   20446059     28      12   86359      0.66727       0.2523
64600        1   20465823   20476879     32      17   78403       1.7967     0.036195
391013       1   20490484   20501687     48      12   90814     -0.13782      0.55481
127733       1   20512578   20522540     14       7   78914      0.24867      0.40181
127731       1   20617412   20681662    314      32   89692     -0.41278      0.66012
55450        1   20808884   20812728      7       4   70370     -0.72157      0.76472
79594        1   20825941   20834674     35      13   80083        2.203     0.013799
163933       1   20878932   20881513      5       2   70756     -0.58622      0.72113
978          1   20915444   20945401    151      25   92193      -1.0513      0.85343
65018        1   20959948   20978004     82      12   95884     -0.53951      0.70523
1650         1   20978260   20988037     37       8   91548    -0.053676       0.5214
57576        1   20990475   21044317    259      50   89476     -0.95432      0.83004
400745       1   21046225   21059133     49      15   83092      0.55009      0.29113
50809        1   21069170   21113808    121      22   87884     -0.14769      0.55871
8672         1   21132785   21503381    990      43   83126     -0.80011      0.78818
1889         1   21543740   21672034    464      56   84625     -0.04388       0.5175
84224        1   21766583   21811393    232      23   82321     -0.23442      0.59267
249          1   21835475   21904905    367      38   92649      0.99215      0.16056
5909         1   21922708   21996010    328      49   91190     -0.60181      0.72635
84196        1   22004791   22109688    447      44   85952      0.50505      0.30676
401944       1   22138758   22151714     55      24   84904      0.33929       0.3672
3339         1   22148737   22263750    472      53   87703     -0.34222      0.63391
23436        1   22303418   22315847    212      23   82586      -2.0345      0.97905
10136        1   22328149   22339035     87      14   80157     -0.95791      0.83095
998          1   22379120   22419439    129      23   85786      0.83393      0.20216
54361        1   22443798   22470474    119      26   88166     0.017482      0.49303
9923         1   22778344   22857650    203      30   76097     -0.68143       0.7522
2046         1   22890004   22930087    198      31   89605     -0.83812      0.79902
712          1   22963118   22966175      8       5   69986       1.8254     0.033973
714          1   22969969   22974603     25       5   92479     -0.31145      0.62227
713          1   22979682   22988130     35      10   81658      0.12607      0.44984
2048         1   23037263   23241823    613      78   85820     -0.28674      0.61284
646262       1   23279536   23299524     62      16   89584      0.26712      0.39469
729059       1   23337327   23342343     10       3   96348       1.2886     0.098763
23028        1   23345937   23410184     93      14   89115       1.0938      0.13702
7798         1   23410516   23504301    217      29   88180       1.8012     0.035839
3352         1   23518388   23521222      7       4   83220       1.7812     0.037443
10236        1   23635953   23671143     57      14   73998     -0.30909      0.62137
80818        1   23685941   23696357     34       8   89746      -1.6316      0.94862
6920         1   23707555   23751269    141      24   92796      0.27601      0.39127
55616        1   23755056   23810750    151      22   86837       1.5778     0.057307
1870         1   23832920   23857712     63      10   89307      0.62131       0.2672
3399         1   23884421   23886285     11       5   87837      0.73214      0.23204
6135         1   24018269   24022915     13       4   90672        0.872       0.1916
6924         1   24069856   24088549     30      15   73147       3.1612   0.00078573
57095        1   24104876   24114722     14       8   66220       2.7783    0.0027325
11313        1   24117275   24122029      5       3   60420      0.39263       0.3473
2582         1   24122089   24127294      3       2   68916      0.62616      0.26561
3155         1   24128367   24165110     64       9   78996       3.9027    4.757e-05
2517         1   24171567   24194859     62       9   84566       3.2805   0.00051816
1269         1   24197005   24285549    258      14   86115       2.5012    0.0061885
55629        1   24286301   24289952      5       2   41018      0.16593       0.4341
10772        1   24292935   24306953     11       4   42060       1.2202       0.1112
127294       1   24382531   24438665    243      32   86294       2.7088    0.0033767
58985        1   24446261   24469783     91      23   83089       3.8705   5.4309e-05
163702       1   24480647   24513765    159      25   89111       6.8202   4.5446e-12
57822        1   24645812   24690972    140      34   82133       2.2496     0.012236
90529        1   24683489   24741587    196      25   90605      0.86739      0.19286
57185        1   24742245   24799473    205      23   91689     0.061009      0.47568
11123        1   24828841   24863510    125      19   90786       1.5304     0.062964
400746       1   24882567   24935819    276      32   92268       2.6785    0.0036973
10250        1   24969594   24999772     49      17   70185      -0.4513      0.67411
25932        1   25071760   25170815    178      32   70502       1.2025      0.11458
864          1   25226002   25291648    181      41   84396       6.1094        5e-10
25949        1   25548767   25559013     10       7   56982       2.0104     0.022196
57035        1   25568740   25574010      8       5   69979       1.2867     0.099095
6007         1   25598884   25656936     48       8   38807     -0.39083      0.65204
23585        1   25664789   25688852     42      14   64194       1.5549     0.059986
6006         1   25687853   25747363     97       8   76610       1.4707     0.070682
55219        1   25757388   25826700    121       7   86689       1.5482     0.060782
26119        1   25870071   25895377     86      14   74547      0.97899      0.16379
57134        1   25943959   26111258    429      42   75733      0.29074      0.38562
57190        1   26126667   26144713     56       7   88172      0.42064      0.33701
56181        1   26146397   26159433     33       3   97287       1.0464      0.14768
79000        1   26158414   26185939     77       5   91230       1.2549      0.10477
164091       1   26187975   26202461     19       7   75990      0.62959      0.26448
3925         1   26210670   26233368     40      10   81363      0.21955      0.41311
5051         1   26286258   26326366    112      11   88993     -0.79784      0.78752
2134         1   26348266   26362955     34      13   71884    -0.042504      0.51695
7780         1   26364513   26373439     21       5   80913      -1.3587      0.91288
84676        1   26377792   26394142     57      11   79845     -0.66198      0.74601
149420       1   26437656   26452039     38       4   89078     -0.91376      0.81958
79927        1   26485511   26489119     14       7   76117      0.55758      0.28857
51042        1   26496388   26497364      4       2  103614      0.44683       0.3275
10256        1   26503981   26516375     36      12   85981      0.94668       0.1719
378807       1   26517119   26529033     71      12   93069       2.0898     0.018317
64793        1   26560644   26605529    165      17   91586       2.1983     0.013964
83442        1   26606213   26608013      5       2   93709       1.8472     0.032356
91544        1   26608773   26644756    153      16   90671       2.7582     0.002906
1043         1   26644411   26647014     14       4   91411       2.9915    0.0013881
55057        1   26648350   26680621    122      20   88629       1.6256     0.052013
257101       1   26688125   26701023     65      14   84366         4.22   1.2214e-05
79727        1   26737269   26756219     50      17   83515    -0.012626      0.50504
79947        1   26758773   26797797     83      24   83126     -0.62363      0.73356
3151         1   26798902   26803133     10       5   84863      -1.0218      0.84655
6195         1   26856249   26901520    125      20   86048       1.1588      0.12327
101928728    1   27018623   27022896     13       5   75966      0.54998      0.29116
8289         1   27022522   27108601    156      15   80969       0.7271      0.23358
55650        1   27113739   27124894     22       9   75160      0.99553      0.15974
84243        1   27153201   27184092     59      12   85232       1.1681      0.12138
2810         1   27189633   27190947      1       1  103614      0.78851       0.2152
54707        1   27205872   27216869     20       6   91871       1.4157     0.078432
63906        1   27216979   27226962     16       7   90167       1.3856     0.082927
8431         1   27237975   27240567      8       5   78922      0.58731       0.2785
10726        1   27248187   27273362     46      14   81224      0.60253      0.27341
126695       1   27276047   27286901     15       5   92431       1.1161      0.13219
388610       1   27320189   27327377     11       6   73815       1.0529       0.1462
115572       1   27331511   27339333     14       5   75426      0.87961      0.18954
6548         1   27425300   27481621     93      16   75616       1.5386     0.061955
23038        1   27561007   27635124    147      21   78536     -0.15971      0.56344
84065        1   27648636   27662891     46      15   77510      0.50671      0.30618
84958        1   27668483   27680423     36      13   84014       1.5326     0.062692
9064         1   27681670   27693558     35      12   84768      0.45097      0.32601
8547         1   27695601   27701315     13       8   78755       1.3737     0.084769
388611       1   27705596   27709823      5       3   63199     -0.34482      0.63488
2827         1   27719148   27722318      4       2   59946        1.628     0.051766
10163        1   27730734   27816678    189      19   75605     -0.54956      0.70869
27245        1   27860756   27930463     98      19   73759      0.16379      0.43495
2268         1   27938800   27961727     49      10   84971     -0.46943      0.68062
2537         1   27992572   27998724     14       3   82672     0.067813      0.47297
199870       1   28052490   28089426     90       7   82954      0.21863      0.41347
23673        1   28099694   28150963     78      10   78258    -0.033105       0.5132
5511         1   28157252   28178183     38       9   77743      -1.3123      0.90529
9473         1   28199055   28213196     58      12   92793      0.81416      0.20778
6118         1   28218035   28241255     85      12   79850       1.4722     0.070488
27293        1   28261456   28285663     94      16   89926      0.33042      0.37054
55113        1   28286504   28294604     26      11   78939      0.77105      0.22034
2140         1   28296855   28415173    413      34   70396       1.7249     0.042275
5724         1   28473677   28520447     92      28   70713     0.061036      0.47567
22826        1   28526789   28559542    120      19   83574      0.74792      0.22725
93974        1   28562602   28564616      8       3   87200      0.52988       0.2981
83667        1   28585963   28609002     75      20   73580       1.0024      0.15807
54797        1   28655513   28662478     12       7   74040     -0.57197      0.71633
65979        1   28696093   28826881    487      17   89052      0.48688      0.31317
1104         1   28832455   28865708    102      17   79490      0.68259      0.24743
54952        1   28879529   28905057     57      13   84097       1.1879      0.11743
115273       1   28918712   28921098      8       5   77438      -1.0206      0.84627
6883         1   28929608   28975416     90      21   73173      0.53686      0.29568
10691        1   28995234   29042115     97      15   78189       2.4626    0.0068975
51441        1   29063133   29096287     80      16   78761       1.9725     0.024276
4985         1   29138654   29190208    208      28   88428       2.1263      0.01674
2035         1   29213603   29446558    581      34   83965     -0.12158      0.54839
399474       1   29445937   29450421     15       6   75893      0.23498      0.40711
6429         1   29474250   29508637     84      21   82798      0.52161      0.30097
51102        1   29519385   29557460    114      21   88368      0.68928      0.24532
10076        1   29563028   29653325    286      39   88565      0.23169      0.40839
4146         1   31184124   31196432     41       5   93096       -1.557      0.94027
7805         1   31205315   31230683     83      27   81513       1.2415       0.1072
9672         1   31342313   31381480    123      36   80478      -1.2739      0.89865
9698         1   31404353   31538838    429      32   74673      0.50291      0.30752
79570        1   31652592   31712734    276      16   94617     -0.60327      0.72683
9410         1   31732415   31769644    123      12   89238      0.28868      0.38641
51538        1   31769832   31838569    185      14   94504    0.0072439      0.49711
2170         1   31838100   31845923     17       8   85025      -1.8107      0.96491
347735       1   31882412   31907527     88      13   85944     -0.53466      0.70356
64129        1   32042086   32053290     22      12   68337      0.20163       0.4201
3061         1   32083290   32093214     28       5   93514     -0.88928      0.81307
553115       1   32095463   32110838     29       5   88871      -0.1172      0.54665
1307         1   32117848   32169768    141      31   84980     -0.65218      0.74286
576          1   32192718   32230494     95      15   71680       1.0747      0.14125
90853        1   32256023   32281630     80      17   76779       3.2725   0.00053306
8073         1   32372022   32403988     61      15   81057     -0.15768      0.56265
10657        1   32479295   32526460     58      34   62169       1.1073      0.13408
55116        1   32538503   32568467     58      11   82973      -1.0145      0.84482
23633        1   32573644   32642169    123      20   77659     -0.15574      0.56188
200081       1   32645293   32663886     41      13   77441       -0.853      0.80317
79140        1   32666202   32670991      6       4   62183     0.056317      0.47754
55721        1   32671236   32674288      6       2   90951     -0.54871       0.7084
149069       1   32674695   32681797     21      12   69988      -1.3657      0.91399
56063        1   32680040   32687954     19       9   81244      -1.1308      0.87093
8668         1   32687971   32697205     17       5   74616      -1.4382      0.92482
84734        1   32712818   32714461      3       2   74575      0.52495      0.29981
3932         1   32716840   32751766     63      28   70525     -0.88667      0.81237
3065         1   32757708   32799227     51      30   61190     -0.17151      0.56809
65108        1   32799430   32801840      1       1   66298     -0.62862       0.7352
81629        1   32818365   32830098      7       5   71868     -0.78937      0.78505
100128071    1   32826871   32827844      1       1   28182      0.33318       0.3695
55108        1   32830704   32860062     36      22   64706     -0.68316      0.75275
728116       1   32930658   32953460     34      13   74463      0.77801      0.21828
653121       1   33004772   33071542    199      13   90277       1.1133       0.1328
339487       1   33086421   33116565    107      12   80803     -0.66728       0.7477
5928         1   33116749   33151812    110       9   81988      -1.2091      0.88669
81493        1   33145507   33168361     76       8   77891       -1.061      0.85566
57648        1   33207492   33240571     74      24   81866       2.7358    0.0031112
8565         1   33240840   33283633    102      16   85620       2.6697    0.0037957
64766        1   33282368   33324480    104      25   74024       2.7393    0.0030789
252995       1   33327869   33338093     18       7   82904       2.9843    0.0014212
3208         1   33351688   33360247     20       8   78046       4.0358   2.7211e-05
113452       1   33360196   33367041     15       5   76201       1.3111     0.094904
127544       1   33402050   33430467     79      16   82980       4.0053   3.0964e-05
204          1   33473541   33502512     71      17   78050       4.6578   1.5982e-06
113451       1   33546711   33586132     89      25   72061       4.9081   4.5992e-07
55223        1   33611000   33647671    110      12   82829       4.0823   2.2293e-05
149076       1   33721908   33766321    101      18   87394       3.8739   5.3547e-05
127550       1   33772367   33786699     60      15   83605       3.2034   0.00067915
1912         1   33789224   33841194    190      28   87901       3.6016   0.00015816
7579         1   33938232   33962105     73      13   82931        1.029      0.15175
114784       1   33979609   34631443   2352     197   88022      0.30534      0.38005
127540       1   34326076   34330392     13       7   81544     -0.61325      0.73014
84970        1   34632624   34684732    252      34   84172      0.21659      0.41426
2709         1   35220648   35224113     14       8   72832    -0.031623      0.51261
127534       1   35225342   35229325     24      14   78587       1.1488      0.12532
2707         1   35246790   35251967     16       6   95106     -0.63756      0.73812
2701         1   35258559   35261351     13       4   91995      0.36437      0.35779
113444       1   35315963   35325417     32      12   88103     -0.46473      0.67894
58512        1   35331037   35391083    121      36   83590     -0.23742      0.59384
100506144    1   35447127   35450948     11       3   69833      0.36021      0.35934
9204         1   35451766   35497569    102       7   81211      0.66129      0.25421
79830        1   35525387   35581460    111      16   66937      0.26081      0.39712
6421         1   35641981   35658766     46       7   70594     -0.06865      0.52737
9202         1   35734444   35887545    317      24   65716     0.043171      0.48278
79932        1   35899091   36023037    250      33   63069     -0.61446      0.73054
23154        1   36023311   36032380     17       6   67448      0.60905      0.27125
339488       1   36038971   36060929     41      15   61178      0.84151      0.20003
5690         1   36040259   36107445    104      24   58086        0.981       0.1633
127703       1   36179477   36184790      9       4   96625     -0.79569       0.7869
63967        1   36185819   36235568     68      12   81639      -1.5148      0.93509
