axis	program_type	gene_symbol	gene_id	annotation_status	chromosome	start	end	MHC_status	included_primary	exclusion_reason
F1	CORE	KRAS	3845	mapped	12	25358180	25403870	non_MHC	True	included_primary
F1	CORE	MALSU1	115416	mapped	7	23338940	23349180	non_MHC	True	included_primary
F1	CORE	MAPK1	5594	mapped	22	22113946	22221970	non_MHC	True	included_primary
F1	CORE	MAPK3	5595	mapped	16	30125426	30134630	non_MHC	True	included_primary
F1	CORE	MEF2C	4208	mapped	5	88014058	88199922	non_MHC	True	included_primary
F1	CORE	MEF2D	4209	mapped	1	156433513	156470634	non_MHC	True	included_primary
F1	CORE	MIEF1	54471	mapped	22	39898197	39914139	non_MHC	True	included_primary
F1	CORE	MIR23B	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MIR27B	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MIRLET7A1	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MOV10	4343	mapped	1	113217048	113243368	non_MHC	True	included_primary
F1	CORE	MRPL1	65008	mapped	4	78783805	78873944	non_MHC	True	included_primary
F1	CORE	MRPL10	124995	mapped	17	45900638	45908907	non_MHC	True	included_primary
F1	CORE	MRPL11	65003	mapped	11	66202550	66206310	non_MHC	True	included_primary
F1	CORE	MRPL12	6182	mapped	17	79670400	79674556	non_MHC	True	included_primary
F1	CORE	MRPL13	28998	mapped	8	121408083	121457647	non_MHC	True	included_primary
F1	CORE	MRPL14	64928	mapped	6	44081372	44095191	non_MHC	True	included_primary
F1	CORE	MRPL15	29088	mapped	8	55047781	55061074	non_MHC	True	included_primary
F1	CORE	MRPL16	54948	mapped	11	59573608	59578345	non_MHC	True	included_primary
F1	CORE	MRPL17	63875	mapped	11	6701616	6704632	non_MHC	True	included_primary
F1	CORE	MRPL18	29074	mapped	6	160211492	160219461	non_MHC	True	included_primary
F1	CORE	MRPL19	9801	mapped	2	75873909	75889334	non_MHC	True	included_primary
F1	CORE	MRPL2	51069	mapped	6	43021767	43028259	non_MHC	True	included_primary
F1	CORE	MRPL20	55052	mapped	1	1337276	1342693	non_MHC	True	included_primary
F1	CORE	MRPL21	219927	mapped	11	68658744	68671303	non_MHC	True	included_primary
F1	CORE	MRPL22	29093	mapped	5	154320633	154348971	non_MHC	True	included_primary
F1	CORE	MRPL23	6150	mapped	11	1968502	2007295	non_MHC	True	included_primary
F1	CORE	MRPL24	79590	mapped	1	156707094	156710923	non_MHC	True	included_primary
F1	CORE	MRPL27	51264	mapped	17	48445228	48450562	non_MHC	True	included_primary
F1	CORE	MRPL28	10573	mapped	16	417384	420584	non_MHC	True	included_primary
F1	CORE	MRPL3	11222	mapped	3	131181045	131221860	non_MHC	True	included_primary
F1	CORE	MRPL30	51263	mapped	2	99797542	99816020	non_MHC	True	included_primary
F1	CORE	MRPL32	64983	mapped	7	42971804	42977456	non_MHC	True	included_primary
F1	CORE	MRPL33	9553	mapped	2	27994584	28002608	non_MHC	True	included_primary
F1	CORE	MRPL34	64981	mapped	19	17413616	17417652	non_MHC	True	included_primary
F1	CORE	MRPL35	51318	mapped	2	86426478	86440913	non_MHC	True	included_primary
F1	CORE	MRPL36	64979	mapped	5	1798499	1799956	non_MHC	True	included_primary
F1	CORE	MRPL37	51253	mapped	1	54665840	54691407	non_MHC	True	included_primary
F1	CORE	MRPL38	64978	mapped	17	73894724	73901181	non_MHC	True	included_primary
F1	CORE	MRPL39	54148	mapped	21	26957968	26979801	non_MHC	True	included_primary
F1	CORE	MRPL4	51073	mapped	19	10362640	10370736	non_MHC	True	included_primary
F1	CORE	MRPL40	64976	mapped	22	19419302	19423600	non_MHC	True	included_primary
F1	CORE	MRPL41	64975	mapped	9	140446309	140447007	non_MHC	True	included_primary
F1	CORE	MRPL42	28977	mapped	12	93861266	93897548	non_MHC	True	included_primary
F1	CORE	MRPL43	84545	mapped	10	102737579	102747272	non_MHC	True	included_primary
F1	CORE	MRPL44	65080	mapped	2	224822121	224832431	non_MHC	True	included_primary
F1	CORE	MRPL45	84311	mapped	17	36452989	36479101	non_MHC	True	included_primary
F1	CORE	MRPL46	26589	mapped	15	89002709	89010633	non_MHC	True	included_primary
F1	CORE	MRPL47	57129	mapped	3	179306253	179322434	non_MHC	True	included_primary
F1	CORE	MRPL48	51642	mapped	11	73498917	73575656	non_MHC	True	included_primary
F1	CORE	MRPL49	740	mapped	11	64889655	64894841	non_MHC	True	included_primary
F1	CORE	MRPL50	54534	mapped	9	104151096	104160919	non_MHC	True	included_primary
F1	CORE	MRPL51	51258	mapped	12	6601316	6602471	non_MHC	True	included_primary
F1	CORE	MRPL52	122704	mapped	14	23299088	23304246	non_MHC	True	included_primary
F1	CORE	MRPL53	116540	mapped	2	74699085	74699942	non_MHC	True	included_primary
F1	CORE	MRPL54	116541	mapped	19	3762665	3767563	non_MHC	True	included_primary
F1	CORE	MRPL55	128308	mapped	1	228294380	228297037	non_MHC	True	included_primary
F1	CORE	MRPL57	78988	mapped	13	21750372	21753223	non_MHC	True	included_primary
F1	CORE	MRPL58	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MRPL9	65005	mapped	1	151732119	151736040	non_MHC	True	included_primary
F1	CORE	MRPS10	55173	mapped	6	42174539	42185633	non_MHC	True	included_primary
F1	CORE	MRPS11	64963	mapped	15	89010684	89021861	non_MHC	True	included_primary
F1	CORE	MRPS12	6183	mapped	19	39421348	39423660	non_MHC	True	included_primary
F1	CORE	MRPS14	63931	mapped	1	174982094	174992591	non_MHC	True	included_primary
F1	CORE	MRPS15	64960	mapped	1	36921362	36930040	non_MHC	True	included_primary
F1	CORE	MRPS16	51021	mapped	10	75008601	75012451	non_MHC	True	included_primary
F1	CORE	MRPS17	51373	mapped	7	56019611	56023034	non_MHC	True	included_primary
F1	CORE	MRPS18A	55168	mapped	6	43638934	43655549	non_MHC	True	included_primary
F1	CORE	MRPS18B	28973	mapped	6	30585275	30594174	MHC	False	MHC_excluded_primary
F1	CORE	MRPS18C	51023	mapped	4	84377085	84382929	non_MHC	True	included_primary
F1	CORE	MRPS2	51116	mapped	9	138392477	138396519	non_MHC	True	included_primary
F1	CORE	MRPS21	54460	mapped	1	150266262	150281414	non_MHC	True	included_primary
F1	CORE	MRPS22	56945	mapped	3	139062861	139075888	non_MHC	True	included_primary
F1	CORE	MRPS23	51649	mapped	17	55916287	55927433	non_MHC	True	included_primary
F1	CORE	MRPS24	64951	mapped	7	43906157	43909145	non_MHC	True	included_primary
F1	CORE	MRPS25	64432	mapped	3	15083758	15106839	non_MHC	True	included_primary
F1	CORE	MRPS26	64949	mapped	20	3026675	3028896	non_MHC	True	included_primary
F1	CORE	MRPS27	23107	mapped	5	71515236	71616084	non_MHC	True	included_primary
F1	CORE	MRPS28	28957	mapped	8	80830952	80942516	non_MHC	True	included_primary
F1	CORE	MRPS30	10884	mapped	5	44809027	44815616	non_MHC	True	included_primary
F1	CORE	MRPS31	10240	mapped	13	41303432	41345347	non_MHC	True	included_primary
F1	CORE	MRPS33	51650	mapped	7	140705961	140714781	non_MHC	True	included_primary
F1	CORE	MRPS34	65993	mapped	16	1821891	1823152	non_MHC	True	included_primary
F1	CORE	MRPS35	60488	mapped	12	27863706	27909237	non_MHC	True	included_primary
F1	CORE	MRPS5	64969	mapped	2	95752952	95787754	non_MHC	True	included_primary
F1	CORE	MRPS6	64968	mapped	21	35445823	35515334	non_MHC	True	included_primary
F1	CORE	MRPS7	51081	mapped	17	73257749	73262457	non_MHC	True	included_primary
F1	CORE	MRPS9	64965	mapped	2	105654483	105716418	non_MHC	True	included_primary
F1	CORE	MT-ATP6	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-ATP8	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-CO1	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-CO2	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-CO3	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-CYB	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-ND1	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-ND2	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-ND3	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-ND4	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-ND4L	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-ND5	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-ND6	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-RNR1	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-RNR2	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-TA	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-TC	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-TD	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-TE	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-TF	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-TG	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-TH	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-TI	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-TK	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-TL1	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-TL2	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-TM	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-TN	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-TP	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-TQ	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-TR	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-TS1	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-TS2	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-TT	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-TV	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-TW	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MT-TY	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MTFMT	123263	mapped	15	65293850	65321977	non_MHC	True	included_primary
F1	CORE	MTIF2	4528	mapped	2	55463756	55496384	non_MHC	True	included_primary
F1	CORE	MTIF3	219402	mapped	13	28009776	28024739	non_MHC	True	included_primary
F1	CORE	MTRES1	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MTRFR	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	MYCN	4613	mapped	2	16080683	16087129	non_MHC	True	included_primary
F1	CORE	MYF5	4617	mapped	12	81110708	81113447	non_MHC	True	included_primary
F1	CORE	MYF6	4618	mapped	12	81101408	81103257	non_MHC	True	included_primary
F1	CORE	MYOD1	4654	mapped	11	17741110	17743678	non_MHC	True	included_primary
F1	CORE	MYOG	4656	mapped	1	203052257	203055166	non_MHC	True	included_primary
F1	CORE	NBEA	26960	mapped	13	35516424	36246874	non_MHC	True	included_primary
F1	CORE	NCOR1	9611	mapped	17	15933408	16118874	non_MHC	True	included_primary
F1	CORE	NDUFAB1	4706	mapped	16	23592335	23607639	non_MHC	True	included_primary
F1	CORE	NRAS	4893	mapped	1	115247085	115259515	non_MHC	True	included_primary
F1	CORE	OXA1L	5018	mapped	14	23235731	23240998	non_MHC	True	included_primary
F1	CORE	PAK2	5062	mapped	3	196466728	196559518	non_MHC	True	included_primary
F1	CORE	PARD6A	50855	mapped	16	67694851	67696681	non_MHC	True	included_primary
F1	CORE	PDE1A	5136	mapped	2	183004762	183387572	non_MHC	True	included_primary
F1	CORE	PDE1B	5153	mapped	12	54943177	54973023	non_MHC	True	included_primary
F1	CORE	PDE1C	5137	mapped	7	31791666	32339016	non_MHC	True	included_primary
F1	CORE	PDE3B	5140	mapped	11	14665191	14893605	non_MHC	True	included_primary
F1	CORE	PDPK1	5170	mapped	16	2587965	2653191	non_MHC	True	included_primary
F1	CORE	PIK3C3	5289	mapped	18	39535165	39662272	non_MHC	True	included_primary
F1	CORE	PIK3CA	5290	mapped	3	178866311	178952500	non_MHC	True	included_primary
F1	CORE	PIK3CB	5291	mapped	3	138371540	138553780	non_MHC	True	included_primary
F1	CORE	PIK3R1	5295	mapped	5	67511584	67597649	non_MHC	True	included_primary
F1	CORE	PIK3R2	5296	mapped	19	18263988	18281343	non_MHC	True	included_primary
F1	CORE	PIK3R4	30849	mapped	3	130397778	130465696	non_MHC	True	included_primary
F1	CORE	PRKACA	5566	mapped	19	14202500	14228559	non_MHC	True	included_primary
F1	CORE	PRKACB	5567	mapped	1	84543745	84704181	non_MHC	True	included_primary
F1	CORE	PRKACG	5568	mapped	9	71627426	71635600	non_MHC	True	included_primary
F1	CORE	PRKAR1A	5573	mapped	17	66507921	66547457	non_MHC	True	included_primary
F1	CORE	PRKAR1B	5575	mapped	7	588834	767313	non_MHC	True	included_primary
F1	CORE	PRKAR2A	5576	mapped	3	48784017	48885270	non_MHC	True	included_primary
F1	CORE	PRKAR2B	5577	mapped	7	106685178	106802256	non_MHC	True	included_primary
F1	CORE	PRKCA	5578	mapped	17	64298760	64806862	non_MHC	True	included_primary
F1	CORE	PRKCD	5580	mapped	3	53195223	53226733	non_MHC	True	included_primary
F1	CORE	PRKCG	5582	mapped	19	54385467	54410906	non_MHC	True	included_primary
F1	CORE	PRKX	5613	mapped	X	3522384	3631675	non_MHC	True	included_primary
F1	CORE	PSMA1	5682	mapped	11	14526422	14665180	non_MHC	True	included_primary
F1	CORE	PSMA2	5683	mapped	7	42956460	42971805	non_MHC	True	included_primary
F1	CORE	PSMA3	5684	mapped	14	58711523	58738727	non_MHC	True	included_primary
F1	CORE	PSMA4	5685	mapped	15	78832747	78841562	non_MHC	True	included_primary
F1	CORE	PSMA5	5686	mapped	1	109941653	109969108	non_MHC	True	included_primary
F1	CORE	PSMA6	5687	mapped	14	35747811	35786680	non_MHC	True	included_primary
F1	CORE	PSMA7	5688	mapped	20	60711783	60718514	non_MHC	True	included_primary
F1	CORE	PSMB1	5689	mapped	6	170844204	170862417	non_MHC	True	included_primary
F1	CORE	PSMB2	5690	mapped	1	36040259	36107445	non_MHC	True	included_primary
F1	CORE	PSMB3	5691	mapped	17	36908978	36920484	non_MHC	True	included_primary
F1	CORE	PSMB4	5692	mapped	1	151372041	151374412	non_MHC	True	included_primary
F1	CORE	PSMB5	5693	mapped	14	23485752	23504429	non_MHC	True	included_primary
F1	CORE	PSMB6	5694	mapped	17	4699439	4701798	non_MHC	True	included_primary
F1	CORE	PSMB7	5695	mapped	9	127115744	127177752	non_MHC	True	included_primary
F1	CORE	PSMC1	5700	mapped	14	90722894	90738969	non_MHC	True	included_primary
F1	CORE	PSMC2	5701	mapped	7	102984852	103009842	non_MHC	True	included_primary
F1	CORE	PSMC3	5702	mapped	11	47440320	47448024	non_MHC	True	included_primary
F1	CORE	PSMC4	5704	mapped	19	40476912	40487671	non_MHC	True	included_primary
F1	CORE	PSMC5	5705	mapped	17	61904770	61909387	non_MHC	True	included_primary
F1	CORE	PSMC6	5706	mapped	14	53173894	53194716	non_MHC	True	included_primary
F1	CORE	PSMD1	5707	mapped	2	231921578	232037541	non_MHC	True	included_primary
F1	CORE	PSMD11	5717	mapped	17	30771481	30810337	non_MHC	True	included_primary
F1	CORE	PSMD12	5718	mapped	17	65336619	65362721	non_MHC	True	included_primary
F1	CORE	PSMD13	5719	mapped	11	236808	252984	non_MHC	True	included_primary
F1	CORE	PSMD14	10213	mapped	2	162164786	162268228	non_MHC	True	included_primary
F1	CORE	PSMD2	5708	mapped	3	184016886	184026842	non_MHC	True	included_primary
F1	CORE	PSMD3	5709	mapped	17	38137021	38154213	non_MHC	True	included_primary
F1	CORE	PSMD6	9861	mapped	3	63996225	64009686	non_MHC	True	included_primary
F1	CORE	PSMD7	5713	mapped	16	74330673	74340186	non_MHC	True	included_primary
F1	CORE	PSMD8	5714	mapped	19	38865190	38874464	non_MHC	True	included_primary
F1	CORE	PTCD3	55037	mapped	2	86333305	86369280	non_MHC	True	included_primary
F1	CORE	PTPN11	5781	mapped	12	112856536	112947717	non_MHC	True	included_primary
F1	CORE	RARA	5914	mapped	17	38465423	38513895	non_MHC	True	included_primary
F1	CORE	RBX1	9978	mapped	22	41347351	41369019	non_MHC	True	included_primary
F1	CORE	RPS27A	6233	mapped	2	55459039	55462989	non_MHC	True	included_primary
F1	CORE	RXRA	6256	mapped	9	137218316	137332431	non_MHC	True	included_primary
F1	CORE	SEM1	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	SHC1	6464	mapped	1	154934774	154946959	non_MHC	True	included_primary
F1	CORE	SKP1	6500	mapped	5	133492082	133512724	non_MHC	True	included_primary
F1	CORE	SMAD3	4088	mapped	15	67358036	67487533	non_MHC	True	included_primary
F1	CORE	SMAD4	4089	mapped	18	48556583	48611412	non_MHC	True	included_primary
F1	CORE	SNW1	22938	mapped	14	78183942	78227542	non_MHC	True	included_primary
F1	CORE	SOS1	6654	mapped	2	39208690	39347686	non_MHC	True	included_primary
F1	CORE	SP1	6667	mapped	12	53773979	53810230	non_MHC	True	included_primary
F1	CORE	TCF12	6938	mapped	15	57210833	57580716	non_MHC	True	included_primary
F1	CORE	TCF3	6929	mapped	19	1609289	1652328	non_MHC	True	included_primary
F1	CORE	TCF4	6925	mapped	18	52889562	53303252	non_MHC	True	included_primary
F1	CORE	TGFBR3	7049	mapped	1	92145900	92371559	non_MHC	True	included_primary
F1	CORE	THEM4	117145	mapped	1	151843342	151882361	non_MHC	True	included_primary
