outcome	phase4c_role	locus	chr	start	stop	phase4br_tier	local_direction_group	rho_ukb	p_ukb	ukb_fdr_within_outcome	eqtl_tissue_priority	gene	probeID	probe_chr	probe_bp	n_tissues	tissues	tissue_classes	top_tissue	top_tissue_class	top_snp	top_snp_chr	top_snp_bp	min_p_smr	min_smr_fdr_global	min_p_heidi	n_heidi_tested	all_rows_heidi_pass_0p01	b_smr_direction	b_smr_top	se_smr_top	p_smr_top	p_heidi_top	nsnp_heidi_top	phase4c_eqtl_gene_tier
crohn	ibd_direction_heterogeneity	57	1	66778016	67761890	Tier 1	negative_local_rg	-0.563557	2.064129999999999e-20	2.4769559999999995e-19	skin;blood;intestinal;immune	TCTEX1D1	ENSG00000152760	1	67218142	4	Colon_Sigmoid;Colon_Transverse;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg	intestinal;skin	Skin_Sun_Exposed_Lower_leg	skin	rs10493419	1	67239777	0.004905723	0.0257323340694444	0.3528575	4	True	positive	0.12458	0.0442848	0.004905723	0.6713503	20.0	A_local_Tier1_recurrent_SMR2
crohn	ibd_direction_heterogeneity	887	5	130573818	132554690	Tier 1	negative_local_rg	-0.640178	3.75399e-10	1.501596e-09	skin;blood;intestinal;immune	SLC22A5	ENSG00000197375	5	131705444	2	Colon_Sigmoid;Colon_Transverse	intestinal	Colon_Transverse	intestinal	rs6860806	5	131640536	5.272797e-10	3.124946561e-08	0.02500401	2	True	positive	0.822123	0.132371	5.272797e-10	0.02500401	20.0	A_local_Tier1_recurrent_SMR2
crohn	ibd_direction_heterogeneity	887	5	130573818	132554690	Tier 1	negative_local_rg	-0.640178	3.75399e-10	1.501596e-09	skin;blood;intestinal;immune	CDC42SE2	ENSG00000158985	5	130581186	2	Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	skin	rs2549012	5	130659758	5.336423e-06	9.301795783076924e-05	0.1021122	2	True	negative	-0.607814	0.133553	5.336423e-06	0.1021122	20.0	A_local_Tier1_recurrent_SMR2
crohn	ibd_direction_heterogeneity	887	5	130573818	132554690	Tier 1	negative_local_rg	-0.640178	3.75399e-10	1.501596e-09	skin;blood;intestinal;immune	KIF3A	ENSG00000131437	5	132028320	4	Colon_Transverse;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Spleen	blood_immune;intestinal;skin	Colon_Transverse	intestinal	rs3798129	5	132063560	0.0006604999	0.0048593921214285	0.01095387	4	True	negative	-0.647199	0.190047	0.0006604999	0.3824688	12.0	A_local_Tier1_recurrent_SMR2
crohn	ibd_direction_heterogeneity	887	5	130573818	132554690	Tier 1	negative_local_rg	-0.640178	3.75399e-10	1.501596e-09	skin;blood;intestinal;immune	HSPA4	ENSG00000170606	5	132387654	3	Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Whole_Blood	blood_immune;skin	Skin_Sun_Exposed_Lower_leg	skin	rs72801474	5	132444128	0.005404289	0.0279591755114155	0.3404839	3	True	positive	0.179693	0.0645938	0.005404289	0.5813344	9.0	A_local_Tier1_recurrent_SMR2
crohn	ibd_direction_heterogeneity	57	1	66778016	67761890	Tier 1	negative_local_rg	-0.563557	2.064129999999999e-20	2.4769559999999995e-19	skin;blood;intestinal;immune	SGIP1	ENSG00000118473	1	66999066	1	Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	skin	rs16844	1	67160884	0.007635261	0.0377762039868995	0.8575749	1	True	negative	-0.355021	0.133077	0.007635261	0.8575749	20.0	B_local_Tier1_single_tissue_SMR2
crohn	ibd_direction_heterogeneity	58	1	67761891	68633860	Tier 1	negative_local_rg	-0.729768	1.93108e-05	3.86216e-05	skin;blood;intestinal;immune	IL12RB2	ENSG00000081985	1	67773047	1	Whole_Blood	blood_immune	Whole_Blood	blood_immune	rs17129794	1	67794918	1.471693e-05	0.000208428521125	0.01364836	1	True	positive	0.303365	0.0700147	1.471693e-05	0.01364836	20.0	B_local_Tier1_single_tissue_SMR2
crohn	ibd_direction_heterogeneity	887	5	130573818	132554690	Tier 1	negative_local_rg	-0.640178	3.75399e-10	1.501596e-09	skin;blood;intestinal;immune	PDLIM4	ENSG00000131435	5	131593364	1	Skin_Not_Sun_Exposed_Suprapubic	skin	Skin_Not_Sun_Exposed_Suprapubic	skin	rs113823725	5	131563501	2.046578e-10	1.6562663385714286e-08	0.01118286	1	True	positive	0.636543	0.10012	2.046578e-10	0.01118286	20.0	B_local_Tier1_single_tissue_SMR2
crohn	ibd_direction_heterogeneity	887	5	130573818	132554690	Tier 1	negative_local_rg	-0.640178	3.75399e-10	1.501596e-09	skin;blood;intestinal;immune	C5orf56	ENSG00000197536	5	131746328	1	Spleen	blood_immune	Spleen	blood_immune	rs2549005	5	131827191	1.182863e-05	0.0001718184332051	0.01970192	1	True	negative	-0.322794	0.073685	1.182863e-05	0.01970192	16.0	B_local_Tier1_single_tissue_SMR2
crohn	ibd_direction_heterogeneity	887	5	130573818	132554690	Tier 1	negative_local_rg	-0.640178	3.75399e-10	1.501596e-09	skin;blood;intestinal;immune	ACSL6	ENSG00000164398	5	131142683	1	Whole_Blood	blood_immune	Whole_Blood	blood_immune	rs257389	5	130744263	0.001901661	0.0117308737729729	0.3350726	1	True	positive	0.425726	0.137102	0.001901661	0.3350726	20.0	B_local_Tier1_single_tissue_SMR2
crohn	ibd_direction_heterogeneity	887	5	130573818	132554690	Tier 1	negative_local_rg	-0.640178	3.75399e-10	1.501596e-09	skin;blood;intestinal;immune	AC034228.7	ENSG00000239642	5	131142816	1	Spleen	blood_immune	Spleen	blood_immune	rs32102	5	131033397	0.00429249	0.0228328223943662	0.360363	1	True	positive	0.0693386	0.0242797	0.00429249	0.360363	20.0	B_local_Tier1_single_tissue_SMR2
crohn	ibd_direction_heterogeneity	887	5	130573818	132554690	Tier 1	negative_local_rg	-0.640178	3.75399e-10	1.501596e-09	skin;blood;intestinal;immune	GDF9	ENSG00000164404	5	132196873	1	Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	skin	rs11742089	5	132178930	0.004817455	0.0253868675116279	0.2095629	1	True	positive	0.121679	0.0431638	0.004817455	0.2095629	20.0	B_local_Tier1_single_tissue_SMR2
crohn	ibd_direction_heterogeneity	887	5	130573818	132554690	Tier 1	negative_local_rg	-0.640178	3.75399e-10	1.501596e-09	skin;blood;intestinal;immune	RAPGEF6	ENSG00000158987	5	130759614	1	Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	skin	rs4706028	5	130946227	0.01055863	0.0488282766938775	0.4066072	1	True	positive	0.378758	0.148127	0.01055863	0.4066072	20.0	B_local_Tier1_single_tissue_SMR2
crohn	ibd_direction_heterogeneity	906	5	156345452	157191081	Tier 1	positive_local_rg	0.79381	0.000446125	0.0007647857142857	skin;blood;intestinal;immune	TIMD4	ENSG00000145850	5	156346293	1	Spleen	blood_immune	Spleen	blood_immune	rs6882345	5	156397673	0.0005466133	0.0040744267690789	0.03704074	1	True	negative	-0.194444	0.0562495	0.0005466133	0.03704074	17.0	B_local_Tier1_single_tissue_SMR2
crohn	ibd_direction_heterogeneity	908	5	158484776	159663733	Tier 1	positive_local_rg	0.487801	3.4336e-12	2.0601599999999998e-11	skin;blood;intestinal;immune	UBLCP1	ENSG00000164332	5	158690089	1	Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	skin	rs11574790	5	158743846	0.0003530679	0.0029198973043795	0.04927043	1	True	positive	0.599967	0.167922	0.0003530679	0.04927043	11.0	B_local_Tier1_single_tissue_SMR2
crohn	ibd_direction_heterogeneity	2194	17	21432874	25872110	Tier 1	positive_local_rg	0.656794	0.00382668	0.00510224	skin;blood;intestinal;immune	KSR1	ENSG00000141068	17	25783670	1	Whole_Blood	blood_immune	Whole_Blood	blood_immune	rs7222355	17	25854188	5.965123e-05	0.0006076934521428	0.1443982	1	True	positive	0.151066	0.0376332	5.965123e-05	0.1443982	20.0	B_local_Tier1_single_tissue_SMR2
crohn	ibd_direction_heterogeneity	2194	17	21432874	25872110	Tier 1	positive_local_rg	0.656794	0.00382668	0.00510224	skin;blood;intestinal;immune	RP11-720N19.1	ENSG00000263368	17	25853412	1	Whole_Blood	blood_immune	Whole_Blood	blood_immune	rs940011	17	25859480	0.0004290803	0.0033916811347222	0.09349798	1	True	positive	0.287855	0.0817416	0.0004290803	0.09349798	15.0	B_local_Tier1_single_tissue_SMR2
crohn	ibd_direction_heterogeneity	2251	18	12735559	13641479	Tier 1	negative_local_rg	-0.846067	7.2497e-07	1.739928e-06	skin;blood;intestinal;immune	RP11-973H7.1	ENSG00000260302	18	12774650	1	Colon_Sigmoid	intestinal	Colon_Sigmoid	intestinal	rs2542150	18	12779763	3.845005e-10	2.420217036111111e-08	0.01288755	1	True	negative	-0.195567	0.0312397	3.845005e-10	0.01288755	20.0	B_local_Tier1_single_tissue_SMR2
crohn	ibd_direction_heterogeneity	2251	18	12735559	13641479	Tier 1	negative_local_rg	-0.846067	7.2497e-07	1.739928e-06	skin;blood;intestinal;immune	RP11-773H22.2	ENSG00000267336	18	12912843	1	Colon_Transverse	intestinal	Colon_Transverse	intestinal	rs11080609	18	12888519	0.009116517	0.0441410844487179	0.03697126	1	True	negative	-0.103623	0.039738	0.009116517	0.03697126	10.0	B_local_Tier1_single_tissue_SMR2
psa	positive_control_near_neighbor	26	1	23907046	25885138	Tier 1	positive_local_rg	0.951302	5.64386e-14	1.739235e-13	skin;blood_immune	IFNLR1	ENSG00000185436	1	24480647	2	Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	skin	rs7552167	1	24518643	3.903298e-05	0.0004252342917307	0.0302184	2	True	positive	0.378369	0.0919904	3.903298e-05	0.04037276	15.0	A_local_Tier1_recurrent_SMR2
psa	positive_control_near_neighbor	887	5	130573818	132554690	Tier 1	positive_local_rg	0.681052	6.34927e-08	6.34927e-08	skin;blood_immune	SLC22A5	ENSG00000197375	5	131705444	3	Cells_EBV-transformed_lymphocytes;Skin_Sun_Exposed_Lower_leg;Spleen	blood_immune;skin	Spleen	blood_immune	rs200838	5	131710399	3.882572e-11	4.398954076e-09	0.0103812	3	True	negative	-0.228976	0.0346488	3.882572e-11	0.08774102	20.0	A_local_Tier1_recurrent_SMR2
psa	positive_control_near_neighbor	887	5	130573818	132554690	Tier 1	positive_local_rg	0.681052	6.34927e-08	6.34927e-08	skin;blood_immune	PDLIM4	ENSG00000131435	5	131593364	3	Cells_EBV-transformed_lymphocytes;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg	blood_immune;skin	Skin_Sun_Exposed_Lower_leg	skin	rs112537099	5	131591725	6.073009e-06	0.0001026973014477	0.01206301	3	True	negative	-0.484418	0.107081	6.073009e-06	0.01206301	20.0	A_local_Tier1_recurrent_SMR2
psa	positive_control_near_neighbor	887	5	130573818	132554690	Tier 1	positive_local_rg	0.681052	6.34927e-08	6.34927e-08	skin;blood_immune	CDC42SE2	ENSG00000158985	5	130581186	2	Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	skin	rs2549012	5	130659758	0.001019774	0.0070451459878048	0.1095454	2	True	positive	0.646127	0.196689	0.001019774	0.1095454	20.0	A_local_Tier1_recurrent_SMR2
psa	positive_control_near_neighbor	887	5	130573818	132554690	Tier 1	positive_local_rg	0.681052	6.34927e-08	6.34927e-08	skin;blood_immune	C5orf56	ENSG00000197536	5	131746328	3	Skin_Not_Sun_Exposed_Suprapubic;Spleen;Whole_Blood	blood_immune;skin	Whole_Blood	blood_immune	rs2706386	5	131832687	0.001913321	0.0117308737729729	0.0131662	3	True	positive	0.541234	0.174402	0.001913321	0.1085225	20.0	A_local_Tier1_recurrent_SMR2
psa	positive_control_near_neighbor	1041	6	111363444	112342873	Tier 1	positive_local_rg	1.0	7.34354e-27	3.67177e-26	skin;blood_immune	C6orf3	ENSG00000255389	6	111921078	3	Cells_EBV-transformed_lymphocytes;Skin_Sun_Exposed_Lower_leg;Spleen	blood_immune;skin	Skin_Sun_Exposed_Lower_leg	skin	rs9481169	6	111929862	9.230534e-10	4.6602708708695655e-08	0.1521576	3	True	negative	-0.495501	0.0809355	9.230534e-10	0.1521576	20.0	A_local_Tier1_recurrent_SMR2
psa	positive_control_near_neighbor	1793	12	55416803	56987105	Tier 1	positive_local_rg	0.986089	9.58204e-10	1.0646711111111112e-09	skin;blood_immune	RP11-977G19.11	ENSG00000257303	12	56693926	4	Cells_EBV-transformed_lymphocytes;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Whole_Blood	blood_immune;skin	Skin_Not_Sun_Exposed_Suprapubic	skin	rs57870697	12	56752874	1.805542e-14	5.114197715e-12	0.01093209	4	True	positive	0.392323	0.051192	1.805542e-14	0.01093209	20.0	A_local_Tier1_recurrent_SMR2
psa	positive_control_near_neighbor	1793	12	55416803	56987105	Tier 1	positive_local_rg	0.986089	9.58204e-10	1.0646711111111112e-09	skin;blood_immune	RPS26	ENSG00000197728	12	56435637	5	Cells_EBV-transformed_lymphocytes;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Spleen;Whole_Blood	blood_immune;skin	Skin_Sun_Exposed_Lower_leg	skin	rs1131017	12	56435929	2.431872e-05	0.0003187046955172	0.0600683	5	True	positive	0.0814958	0.0193071	2.431872e-05	0.1126687	20.0	A_local_Tier1_recurrent_SMR2
